year,treatment,variable,n,sum,mean,median,sd,min,p05,p25,p75,p95,max,n_zero,pct_zero,n_negative,pct_negative
2020,AWD,ponding_level_mm,148,4927.9817250833385,33.297173818130666,29.6405018842974,32.698534274822485,0.0,0.0,0.0,58.9538834190869,88.92980815907997,143.534944306204,54,36.486486486486484,0,0.0
2020,AWD,percolation_balance_mm,148,436.78186977974053,2.951228849863112,0.00041035086757029997,7.596437458708949,-11.9605718684913,-2.0686921028367538,-0.0334175903723979,2.16912827515076,21.529436047554594,38.1539149664439,9,6.081081081081082,47,31.756756756756754
2020,DFL,irrigation_inflow_mm,148,1909.397436534477,12.901334030638358,8.854013392668573,17.97568658974753,0.0,0.0,0.0,22.1640065522657,36.093564378669136,128.650635138554,61,41.21621621621622,0,0.0
2020,DFL,irrigation_outflow_mm,148,844.4116307865265,5.705483991800855,0.0,11.504203741366776,0.0,0.0,0.0,9.407120384302285,18.077106825920776,90.8045928619484,75,50.67567567567568,0,0.0
2020,DFL,net_irrigation_calculated_mm,148,1064.9858057479505,7.195850038837503,5.769926223935635,19.86674514299827,-89.1773238923088,-7.28711432081888,0.0,12.578021745797026,29.6820223979612,123.439772745838,51,34.45945945945946,16,10.81081081081081
2020,DFL,rainfall_mm,148,356.8,2.410810810810811,0.0,7.05221666444894,0.0,0.0,0.0,0.2,17.850000000000005,56.0,105,70.94594594594594,0,0.0
2020,DFL,etc_adjusted_mm,148,637.2072481934212,4.305454379685278,4.955828913951635,1.9819218217267525,0.225860220518266,1.1850321549856384,2.622777555008005,6.037310734509431,6.70123262382735,7.4367056845055,0,0.0,0,0.0
2020,DFL,ponding_level_mm,148,7278.483566271102,49.17894301534528,68.34944691882835,42.50588450472278,0.0,0.0,0.0,89.6526432981322,97.50191742976746,109.33692865521,59,39.86486486486486,0,0.0
2020,DFL,percolation_balance_mm,148,783.6607617091939,5.295005146683743,5.12811933272621,5.249029319570768,-5.96858551937889,-3.9968028886505604e-14,5.906386491005835e-14,9.019624141835623,14.352294463716907,21.4424702594043,3,2.027027027027027,20,13.513513513513514
2020,WFL,irrigation_inflow_mm,148,1569.9778109198949,10.607958181891181,3.283844036231635,19.58471979545395,0.0,0.0,0.0,13.094209784089726,41.78142860099555,160.501174871852,63,42.567567567567565,0,0.0
2020,WFL,irrigation_outflow_mm,148,1019.2855983423669,6.887064853664642,0.20750338149396602,19.138556772315773,0.0,0.0,0.00039832321184864997,6.678563613407205,27.4747525831291,159.547098999054,32,21.62162162162162,0,0.0
2020,WFL,net_irrigation_calculated_mm,148,550.6922125775268,3.7208933282265324,0.0,25.800874830357884,-139.486704919773,-8.523443288750563,-0.0026330848387345,8.122875446069536,28.177697180246827,160.47384880552,31,20.945945945945947,45,30.405405405405407
2020,WFL,rainfall_mm,148,356.8,2.410810810810811,0.0,7.05221666444894,0.0,0.0,0.0,0.2,17.850000000000005,56.0,105,70.94594594594594,0,0.0
2020,WFL,etc_adjusted_mm,148,673.0893858716495,4.547901255889523,5.32827571299073,1.897283684910465,0.442233732206234,1.202058949251685,2.9691455422330675,6.072065354934618,6.70123262382735,7.4367056845055,0,0.0,0,0.0
2020,WFL,ponding_level_mm,148,7404.625212265353,50.03125143422536,67.50940601457859,42.61225592006971,0.0,0.0,0.0,87.01632744671018,108.67886882353805,122.665348206222,51,34.45945945945946,0,0.0
2020,WFL,percolation_balance_mm,148,186.57325918545655,1.2606301296314633,1.97619698383278e-14,4.9283908269962895,-11.3319529022084,-5.390416870463745,-0.7528697215762797,2.7933605848253875,10.462212332841888,21.5663858037515,5,3.3783783783783785,63,42.567567567567565
