subdistrict,year,n_pixels,mean_ff,median_ff,sd_ff,mean_image_count
B,2006,520,0.3337932211043503,0.32225093121329895,0.22299836601998793,5.1
B,2007,520,0.32939258076509326,0.331380158662796,0.2102930690896503,4.519230769230769
B,2008,520,0.4198546938052238,0.430658394098282,0.23487805926524372,4.7846153846153845
B,2009,520,0.3990751229678949,0.4193787753582005,0.2041629859210627,5.221153846153846
B,2010,520,0.34492709751481765,0.3537699669599535,0.19354335065431133,4.7288461538461535
B,2011,520,0.24139827649194934,0.2285138270817695,0.16812566538197346,5.342307692307692
B,2012,520,0.35468791596698374,0.3646053932607175,0.1918983504315637,5.721153846153846
B,2013,520,0.36280577062116115,0.37854863454898247,0.2032809696480973,5.536538461538462
B,2014,520,0.2387033783050785,0.226434443243003,0.17489005016973905,5.428846153846154
B,2015,520,0.2171839865872225,0.188871906915059,0.18473097714569803,4.744230769230769
B,2016,520,0.22133330349609073,0.178921556721131,0.18491114484081864,5.609615384615385
B,2017,520,0.1762730035911488,0.14181065799978898,0.15914776445969578,5.384615384615385
B,2018,520,0.23219205315069746,0.216157670132816,0.18510575245610947,4.463461538461538
B,2019,520,0.14557894501097823,0.09468534053691349,0.15856616309840738,5.5442307692307695
B,2020,520,0.11471250853460684,0.0692521956322404,0.14251647502638887,4.915384615384616
B,2021,520,0.1006665937166667,0.040124282667723804,0.1454879247757111,5.644230769230769
C,2000,742,0.4771306257775113,0.515537204345067,0.22508859604711198,4.948787061994609
C,2001,742,0.3839061396653236,0.39895285169283545,0.17998594764140355,5.783018867924528
C,2002,742,0.44189690797678133,0.4678804710507395,0.20474504282025272,5.291105121293801
C,2003,742,0.4199847231347791,0.44572735528151197,0.21774202126915096,5.460916442048518
C,2004,742,0.4640540516217781,0.492619443188111,0.22764945710114895,5.347708894878706
C,2005,742,0.4190760478568292,0.445151957372824,0.19784743197202978,5.6455525606469
C,2006,742,0.4293703311846275,0.447041389842828,0.20977543824509548,5.2991913746630726
C,2007,742,0.4162282133149169,0.4421238941450915,0.21306754681479873,5.1455525606469
C,2008,742,0.48113227239280293,0.5338555365800854,0.22442529493864272,5.1873315363881405
C,2009,742,0.43381652285231204,0.46542888134717897,0.19132836008267487,5.66711590296496
C,2010,742,0.3551443217947179,0.358928086950133,0.1739024358521999,5.110512129380054
C,2011,742,0.2472855015107344,0.25659130606800296,0.1312217780295532,5.605121293800539
C,2012,742,0.3418452354449535,0.36243145229915796,0.1878586948952003,5.842318059299191
C,2013,742,0.32825903211890745,0.349267863028217,0.16209606842409363,5.8719676549865225
C,2014,742,0.2564365180038968,0.251364050619304,0.1419154736948949,5.688679245283019
C,2015,742,0.19648177171728767,0.1726368167980885,0.15148777427032675,5.654986522911051
C,2016,742,0.16508527132010603,0.14746327521667502,0.12514271361272303,5.8059299191374665
C,2017,742,0.14617390334404948,0.1311573665977145,0.1027659700630109,5.6415094339622645
C,2018,742,0.20221728875816636,0.20027537243440752,0.13184622333071647,4.933962264150943
C,2019,742,0.17804107305005193,0.1594627420417965,0.13620408230668044,5.669811320754717
C,2020,742,0.1334644595587216,0.1165567158410945,0.10849289029132025,5.285714285714286
C,2021,742,0.11350894466579287,0.09339620795799415,0.09482909043414758,5.7789757412398925
D,2000,52,0.09477520302708187,0.060540657909587,0.09624368321676527,4.711538461538462
D,2001,52,0.09755325337255506,0.08942301827482875,0.06648399315605776,5.788461538461538
D,2002,52,0.11702464396836988,0.0893707537674345,0.09946228978553433,4.576923076923077
D,2003,52,0.09952468425259355,0.0751562964481612,0.08998428039198841,5.019230769230769
D,2004,52,0.0824225464198837,0.06371064484119415,0.07297897166225671,4.826923076923077
D,2005,52,0.08013189824910698,0.06393200041493399,0.07535973807030118,4.730769230769231
D,2006,52,0.10150505074145774,0.09113085642457011,0.07593826811267225,4.980769230769231
D,2007,52,0.06202798110575828,0.03771934821270405,0.06667186137033274,4.5
D,2008,52,0.09716063251208443,0.07848207401111726,0.06468653476247271,4.134615384615385
D,2009,52,0.11452293302386234,0.09161955611004186,0.07514825352023595,5.25
D,2010,52,0.06253480358627245,0.06030386996765935,0.05137330929569702,4.326923076923077
D,2011,52,0.06162964352925206,0.0421699983999133,0.06137379006547401,5.365384615384615
D,2012,52,0.050633464215174305,0.0385599215514958,0.03945968194600624,5.4423076923076925
D,2013,52,0.10105154842682307,0.10367942850522649,0.057992432402390645,5.076923076923077
D,2014,52,0.07657327741356149,0.06426805226753154,0.06434581029697332,4.923076923076923
D,2015,52,0.02815729024546155,0.0104296079371124,0.04055721552806529,5.1923076923076925
D,2016,52,0.02921784800513331,0.01691258385156595,0.04121057033142307,5.134615384615385
D,2017,52,0.03116984349148064,0.023702280897850897,0.025183812931496085,5.019230769230769
D,2018,52,0.010806004754461643,0.0047523465007543,0.012790853297810963,3.5
D,2019,52,0.012261957658516509,0.00968629542427755,0.010113051442097816,5.326923076923077
D,2020,52,0.015264870695822382,0.013748372094899701,0.013729243575310943,4.326923076923077
D,2021,52,0.013498373946132229,0.008110216023245149,0.014599949450338809,5.75
E,2000,683,0.28030096275171706,0.241130068898201,0.21834437833518233,3.882869692532943
E,2001,683,0.18977849622542667,0.143291484409322,0.17865441307214744,4.947291361639825
E,2002,683,0.242922987621379,0.210434610644976,0.1837061398960348,4.5797950219619326
E,2003,683,0.17989787771847196,0.115093512833118,0.19312288851676856,4.31185944363104
E,2004,683,0.22436536745296148,0.171412670519203,0.20744096127480305,4.777452415812592
E,2005,683,0.1821692515393274,0.111413289327174,0.19388080410648553,4.612005856515373
E,2006,683,0.17537652567406514,0.0989407822489738,0.2008706312282899,4.56515373352855
E,2007,683,0.15393119935943336,0.0799201444722712,0.18377060372876367,3.9150805270863835
E,2008,683,0.20057657470919807,0.12686114013195,0.20610636596262374,4.001464128843338
E,2009,683,0.20786044641025989,0.132648690293233,0.2042192979685805,4.87701317715959
E,2010,683,0.15652304705184344,0.0901923783123493,0.17498162913240264,4.019033674963397
E,2011,683,0.10242896144710295,0.0450591459870338,0.13968910270433588,5.24597364568082
