year,date,n_wells,mean_depth_cm,median_depth_cm,min_depth_cm,max_depth_cm,sd_across_wells_cm,spatial_range_cm
2019,2019-05-25,7,139.78803856197626,157.905725738007,64.2650312640455,180.700227990368,49.771337926013224,116.4351967263225
2019,2019-05-26,7,141.12781674249612,158.095162287228,62.7429205689737,179.293345389283,46.85735604421259,116.55042482030929
2019,2019-05-27,7,139.58932853806664,157.857568626325,62.6455997223871,177.473081714632,47.22201884944807,114.82748199224491
2019,2019-05-28,7,138.57609660154188,157.961956280681,62.8318878800911,175.861452764374,47.24049271442454,113.0295648842829
2019,2019-05-29,7,141.0311290173731,159.758930680923,62.4382150481381,176.889798095526,45.330664424540366,114.45158304738791
2019,2019-05-30,7,140.0305048329706,159.743131414147,60.5422033159442,175.76175395706,45.4196443120968,115.2195506411158
2019,2019-05-31,7,137.09624751039857,158.599382145023,58.5594344321905,174.445595733611,46.730255245572124,115.88616130142049
2019,2019-06-01,7,134.9297073473733,157.211058571912,62.2343680462592,172.571175944267,45.013534895111796,110.3368078980078
2019,2019-06-02,7,137.76341426299797,152.346786315508,78.2300868805635,171.375720640911,38.373684538551494,93.1456337603475
2019,2019-06-03,7,138.79235014643305,152.716523268475,87.1931877407434,169.392145916055,33.93986201305306,82.1989581753116
2019,2019-06-04,7,130.16574963845466,146.313117312899,66.2553535831336,167.372686606464,42.44657694837275,101.11733302333039
2019,2019-06-05,7,126.61155270442238,143.7328083694,51.271819577542,165.088497594726,44.878413158159695,113.81667801718399
2019,2019-06-06,7,127.48126393606766,145.564160096897,50.5753415248861,163.746659907895,42.71460820533576,113.17131838300891
2019,2019-06-07,7,117.06296742890952,118.995902617507,48.5030351932878,158.8091144842,40.24301865428546,110.3060792909122
2019,2019-06-08,7,102.67029661971218,84.7660919742026,43.9626508750223,152.96242747873,44.88478120902709,108.99977660370772
2019,2019-06-09,7,93.3145277475836,84.6851150839527,30.9564397301784,150.729742873455,51.58860317052673,119.77330314327659
2019,2019-06-10,7,91.99428677533062,80.2694249509429,14.4739287101601,148.433223656001,51.05936674365878,133.9592949458409
2019,2019-06-11,7,95.89525763005533,83.2840938406292,13.0744915397869,148.375798632259,48.61377458872147,135.30130709247211
2019,2019-06-12,7,94.54222216845928,80.7592198127722,13.9541746288813,148.084039466822,48.142238206110456,134.1298648379407
2019,2019-06-13,7,92.88042123085766,79.4517629228096,15.1237529316234,147.032793171745,47.41770376326995,131.9090402401216
