year,date,groundwater_mean_depth_cm,groundwater_median_depth_cm,groundwater_n_wells,groundwater_sd_across_wells_cm,rainfall_mm,mean_ponding_level_mm,total_irrigation_inflow_mm,total_irrigation_outflow_mm,total_net_irrigation_mm,total_percolation_balance_mm
2019,2019-06-28,50.467659205383036,59.2657259986936,7,26.962472103372267,0.0,84.94541236242497,128.4050786714306,47.706896489890035,80.6981821815406,44.488856786540566
2019,2019-06-29,50.6181752772952,59.1433600728834,7,26.351573364977355,0.0,86.49981187769504,157.60750462507121,79.2616761284165,78.3458284966547,55.460217472103
2019,2019-06-30,49.34395870551113,58.8182113415826,7,26.351016674121848,0.0,88.3684133236892,220.92621063188088,123.6527669590826,97.27344367279827,84.22386747380972
2019,2019-07-01,46.99991523245637,57.6723148833594,7,24.905189671586978,0.0,84.27287057633608,108.74323663073741,61.9012436145086,46.84199301622883,55.32812561534385
2019,2019-07-02,47.33629238087136,54.4830299318761,7,22.685344971144353,0.0,71.35927753210599,79.3026524409008,30.537422055239173,48.765230385661596,44.655220280165835
2019,2019-07-03,47.024987807830804,54.6068250255587,7,22.509539358984224,0.0,65.06387133628603,94.9410525824602,58.7573559645411,36.1836966179191,57.56177743653187
2019,2019-07-04,46.69631278985905,53.5931653749969,7,21.402635975016647,0.0,53.651611845321234,54.792448999766805,3.04942516682387,51.743023832942896,48.0834219020819
2019,2019-07-05,43.10434669826618,51.3639310538167,7,21.754328505661565,0.0,53.400279093806695,103.307570608695,9.050416122119826,94.25715448657519,67.05570388104553
2019,2019-07-06,41.69270359776993,47.521092070366,7,21.68499253516832,9.2,50.82957102296001,72.2276826819234,11.766247487790755,60.461435194132605,52.74990054612733
2019,2019-07-07,41.67550923589341,47.89650185011,7,20.822427378137483,0.0,50.38319184158504,33.3696946410788,6.723584646076407,26.64610999500242,55.52678515310163
2019,2019-07-08,42.1716403567696,48.9505905583016,7,20.84206358624512,0.0,49.13700614631026,129.46003947030061,3.5550492037898023,125.9049902665108,34.25765054003576
2019,2019-07-09,39.82908650947203,44.1604252333988,7,19.786635401176852,0.0,52.00471455781173,75.69485207596868,66.7885673038671,8.9062847721016,78.43223314734229
2019,2019-07-10,40.62852459161194,46.5215232212003,7,18.583157604793563,0.0,38.368027691558034,72.4284943304665,22.3108200724315,50.117674258035,37.099561357662054
2019,2019-07-11,37.8633395487059,45.3863327458947,7,21.036908538751593,0.0,23.49763335737123,30.7482834825265,107.27469326239525,-76.52640977986876,10.548474310480909
2019,2019-07-12,34.433939553833326,41.0026768667308,7,21.515665323913154,0.0,18.428547557216767,103.929329631274,15.7496804349074,88.1796491963666,-4.93969707768881
2019,2019-07-13,35.76022667321947,41.5182866525271,7,19.684697798648326,0.0,33.129312447670536,25.4846769219583,5.30371505644635,20.18096186551195,4.813117302580591
2019,2019-07-14,36.935786265729575,38.4666575835496,7,19.41896882776555,0.0,31.778447503752066,8.99699029893031,0.0,8.99699029893031,17.027285890417627
