IdSensore,Tipologia,IdTipologia,UnitaMisura,DataMinimaRT,DataMinimaPubblicazione,DataMassimaRT,UTM Nord,UTM Est,Quota,idStazione,Nome,Provincia,Comune,_lon_wgs84,_lat_wgs84
14148,Radiazione Globale,12,W/m²,18/04/2012,,31/08/2026,5073930,602209,1069,1325,Collio Memmo,BS,Collio,10.315518370560591,45.811359318469144
14160,Velocità Vento,9,m/s,07/05/2012,,25/08/2020,5014273,499104,100,140,Motta Visconti SMR,MI,Motta Visconti,8.988575477376283,45.28195619871089
14161,Radiazione Globale,12,W/m²,16/06/2012,,31/08/2026,5114304,525058,980,1202,Vercana ,CO,Vercana,9.32467702912657,46.18185157301386
14165,Umidità Relativa,11,%,09/10/2012,,31/08/2026,5011836,575599,56,1219,Casalbuttano ed Uniti ,CR,Casalbuttano ed Uniti,9.963491700506637,45.25595602118004
14170,Livello Idrometrico,1,cm,27/10/2012,01/01/2025,31/08/2026,5072258,522295,266,1341,Bosisio Parini Imbarcadero,LC,Bosisio Parini,9.286915087436197,45.80352345814611
14171,Precipitazione,2,mm,27/10/2012,,31/08/2026,5072258,522295,266,1341,Bosisio Parini Imbarcadero,LC,Bosisio Parini,9.286915087436197,45.80352345814611
14178,Altezza Neve,4,cm,13/10/2012,,31/08/2026,5105228,574978,2440,1342,Ponte in Valtellina Lago Reguzzo,SO,Ponte in Valtellina,9.96999330768605,46.09651166585236
14180,Radiazione Globale,12,W/m²,13/10/2012,,31/08/2026,5105228,574978,2440,1342,Ponte in Valtellina Lago Reguzzo,SO,Ponte in Valtellina,9.96999330768605,46.09651166585236
14189,Direzione Vento,10,°,13/10/2012,,31/08/2026,5105228,574978,2440,1342,Ponte in Valtellina Lago Reguzzo,SO,Ponte in Valtellina,9.96999330768605,46.09651166585236
14190,Velocità Vento,9,m/s,13/10/2012,,31/08/2026,5105228,574978,2440,1342,Ponte in Valtellina Lago Reguzzo,SO,Ponte in Valtellina,9.96999330768605,46.09651166585236
14191,Umidità Relativa,11,%,13/10/2012,,31/08/2026,5105228,574978,2440,1342,Ponte in Valtellina Lago Reguzzo,SO,Ponte in Valtellina,9.96999330768605,46.09651166585236
14194,Temperatura,3,°C,13/10/2012,,31/08/2026,5105228,574978,2440,1342,Ponte in Valtellina Lago Reguzzo,SO,Ponte in Valtellina,9.96999330768605,46.09651166585236
14197,Precipitazione,2,mm,13/10/2012,,31/08/2026,5105228,574978,2440,1342,Ponte in Valtellina Lago Reguzzo,SO,Ponte in Valtellina,9.96999330768605,46.09651166585236
14205,Altezza Neve,4,cm,13/10/2012,,31/08/2026,5133321,570414,3032,1343,Lanzada Passo Marinelli,SO,Lanzada,9.915147774061769,46.349802050209284
14207,Radiazione Globale,12,W/m²,13/10/2012,,31/08/2026,5133321,570414,3032,1343,Lanzada Passo Marinelli,SO,Lanzada,9.915147774061769,46.349802050209284
14216,Direzione Vento,10,°,13/10/2012,,31/08/2026,5133321,570414,3032,1343,Lanzada Passo Marinelli,SO,Lanzada,9.915147774061769,46.349802050209284
14217,Velocità Vento,9,m/s,13/10/2012,,31/08/2026,5133321,570414,3032,1343,Lanzada Passo Marinelli,SO,Lanzada,9.915147774061769,46.349802050209284
14218,Umidità Relativa,11,%,13/10/2012,,31/08/2026,5133321,570414,3032,1343,Lanzada Passo Marinelli,SO,Lanzada,9.915147774061769,46.349802050209284
14221,Temperatura,3,°C,13/10/2012,,31/08/2026,5133321,570414,3032,1343,Lanzada Passo Marinelli,SO,Lanzada,9.915147774061769,46.349802050209284
14224,Precipitazione,2,mm,13/10/2012,,31/08/2026,5133321,570414,3032,1343,Lanzada Passo Marinelli,SO,Lanzada,9.915147774061769,46.349802050209284
14232,Direzione Vento,10,°,13/10/2012,,31/08/2026,5093546,553689,966,1345,Piazzatorre ,BG,Piazzatorre,9.69328478650331,45.99338358666594
14237,Velocità Vento,9,m/s,13/10/2012,,31/08/2026,5093546,553689,966,1345,Piazzatorre ,BG,Piazzatorre,9.69328478650331,45.99338358666594
14238,Umidità Relativa,11,%,13/10/2012,,31/08/2026,5093546,553689,966,1345,Piazzatorre ,BG,Piazzatorre,9.69328478650331,45.99338358666594
14241,Precipitazione,2,mm,13/10/2012,,31/08/2026,5093546,553689,966,1345,Piazzatorre ,BG,Piazzatorre,9.69328478650331,45.99338358666594
14242,Temperatura,3,°C,13/10/2012,,31/08/2026,5093546,553689,966,1345,Piazzatorre ,BG,Piazzatorre,9.69328478650331,45.99338358666594
14251,Direzione Vento,10,°,17/10/2012,,31/08/2026,5141127,528341,1880,1346,Campodolcino Alpe Motta,SO,Campodolcino,9.368831613649215,46.42312127328564
