duplicate_group_key,scene_id,canonical_rank,is_canonical_scene,canonical_scene_id,duplicate_group_size,platform,datetime,end_datetime,orbit_state,relative_orbit,bbox,vv_assets_n,vh_assets_n,data_role_assets_n,tiff_assets_n,asset_rows_n
"S1B|2019-08-11 17:14:02.507122+00:00|2019-08-11 17:14:27.505432+00:00|ascending|15|(7.911032, 43.593704, 11.566888, 45.501774)",S1B_IW_GRDH_1SDV_20190811T171402_20190811T171427_017541_020FD8_8465_COG,1,True,S1B_IW_GRDH_1SDV_20190811T171402_20190811T171427_017541_020FD8_8465_COG,1,S1B,2019-08-11 17:14:02.507122+00:00,2019-08-11 17:14:27.505432+00:00,ascending,15,"[7.911032, 43.593704, 11.566888, 45.501774]",4,4,3,2,11
"S1B|2019-08-11 17:14:02.507399+00:00|2019-08-11 17:14:27.505729+00:00|ascending|15|(7.911085, 43.593719, 11.56694, 45.501785)",S1B_IW_GRDH_1SDV_20190811T171402_20190811T171427_017541_020FD8_2C7C_COG,1,True,S1B_IW_GRDH_1SDV_20190811T171402_20190811T171427_017541_020FD8_2C7C_COG,1,S1B,2019-08-11 17:14:02.507399+00:00,2019-08-11 17:14:27.505729+00:00,ascending,15,"[7.911085, 43.593719, 11.56694, 45.501785]",4,4,3,2,11
"S1B|2019-08-11 17:14:27.506929+00:00|2019-08-11 17:14:52.506737+00:00|ascending|15|(7.516866, 45.09317, 11.24273, 47.003418)",S1B_IW_GRDH_1SDV_20190811T171427_20190811T171452_017541_020FD8_6D97_COG,1,True,S1B_IW_GRDH_1SDV_20190811T171427_20190811T171452_017541_020FD8_6D97_COG,1,S1B,2019-08-11 17:14:27.506929+00:00,2019-08-11 17:14:52.506737+00:00,ascending,15,"[7.516866, 45.09317, 11.24273, 47.003418]",4,4,3,2,11
"S1B|2019-08-11 17:14:27.507226+00:00|2019-08-11 17:14:52.505556+00:00|ascending|15|(7.516945, 45.093185, 11.24291, 47.003357)",S1B_IW_GRDH_1SDV_20190811T171427_20190811T171452_017541_020FD8_51ED_COG,1,True,S1B_IW_GRDH_1SDV_20190811T171427_20190811T171452_017541_020FD8_51ED_COG,1,S1B,2019-08-11 17:14:27.507226+00:00,2019-08-11 17:14:52.505556+00:00,ascending,15,"[7.516945, 45.093185, 11.24291, 47.003357]",4,4,3,2,11
"S1B|2019-08-15 05:34:42.906478+00:00|2019-08-15 05:35:07.905406+00:00|descending|66|(6.578234, 45.007793, 10.197303, 46.908409)",S1B_IW_GRDH_1SDV_20190815T053442_20190815T053507_017592_021179_B8FC_COG,1,True,S1B_IW_GRDH_1SDV_20190815T053442_20190815T053507_017592_021179_B8FC_COG,1,S1B,2019-08-15 05:34:42.906478+00:00,2019-08-15 05:35:07.905406+00:00,descending,66,"[6.578234, 45.007793, 10.197303, 46.908409]",4,4,3,2,11
"S1B|2019-08-15 05:34:50.638619+00:00|2019-08-15 05:35:15.636083+00:00|descending|66|(6.41713, 44.545895, 10.083747, 46.448383)",S1B_IW_GRDH_1SDV_20190815T053450_20190815T053515_017592_021179_23C5_COG,1,True,S1B_IW_GRDH_1SDV_20190815T053450_20190815T053515_017592_021179_23C5_COG,1,S1B,2019-08-15 05:34:50.638619+00:00,2019-08-15 05:35:15.636083+00:00,descending,66,"[6.41713, 44.545895, 10.083747, 46.448383]",4,4,3,2,11
"S1B|2019-08-15 05:35:07.906916+00:00|2019-08-15 05:35:32.904346+00:00|descending|66|(6.251716, 43.508617, 9.817461, 45.405594)",S1B_IW_GRDH_1SDV_20190815T053507_20190815T053532_017592_021179_5635_COG,1,True,S1B_IW_GRDH_1SDV_20190815T053507_20190815T053532_017592_021179_5635_COG,1,S1B,2019-08-15 05:35:07.906916+00:00,2019-08-15 05:35:32.904346+00:00,descending,66,"[6.251716, 43.508617, 9.817461, 45.405594]",4,4,3,2,11
"S1B|2019-08-16 17:22:14.441274+00:00|2019-08-16 17:22:39.439212+00:00|ascending|88|(5.929819, 43.472637, 9.494673, 45.3797)",S1B_IW_GRDH_1SDV_20190816T172214_20190816T172239_017614_021234_5960_COG,1,True,S1B_IW_GRDH_1SDV_20190816T172214_20190816T172239_017614_021234_5960_COG,1,S1B,2019-08-16 17:22:14.441274+00:00,2019-08-16 17:22:39.439212+00:00,ascending,88,"[5.929819, 43.472637, 9.494673, 45.3797]",4,4,3,2,11
"S1B|2019-08-16 17:22:14.441418+00:00|2019-08-16 17:22:39.439367+00:00|ascending|88|(5.929865, 43.472664, 9.494724, 45.37973)",S1B_IW_GRDH_1SDV_20190816T172214_20190816T172239_017614_021234_5F4A_COG,1,True,S1B_IW_GRDH_1SDV_20190816T172214_20190816T172239_017614_021234_5F4A_COG,1,S1B,2019-08-16 17:22:14.441418+00:00,2019-08-16 17:22:39.439367+00:00,ascending,88,"[5.929865, 43.472664, 9.494724, 45.37973]",4,4,3,2,11
"S1B|2019-08-16 17:22:39.440709+00:00|2019-08-16 17:23:04.440143+00:00|ascending|88|(5.476423, 44.977425, 9.20776, 46.875099)",S1B_IW_GRDH_1SDV_20190816T172239_20190816T172304_017614_021234_5A8D_COG,1,True,S1B_IW_GRDH_1SDV_20190816T172239_20190816T172304_017614_021234_5A8D_COG,1,S1B,2019-08-16 17:22:39.440709+00:00,2019-08-16 17:23:04.440143+00:00,ascending,88,"[5.476423, 44.977425, 9.20776, 46.875099]",4,4,3,2,11
