canonical_scene_id,platform,polarization,noise_schema,thermalNoiseCorrectionPerformed_input,noise_xml_bytes_n,legacy_vectors_n,range_vectors_n,azimuth_vectors_n,sample_rows_n,finite_noise_power_n,missing_noise_power_n,nonpositive_corrected_power_n,nonpositive_corrected_power_share,multiple_azimuth_block_matches_n,noise_to_raw_power_ratio_median,noise_to_raw_power_ratio_p99,sigma0_noise_effect_db_median,status
S1B_IW_GRDH_1SDV_20200517T053508_20200517T053533_021617_02909E_1E32_COG,S1B,VH,modern_range_x_azimuth,false,426038,0,27,3,661,661,0,24,0.036308623298033284,0,0.22272482064840218,1.4489218414752991,-1.0361296066865897,PASS
S1B_IW_GRDH_1SDV_20200517T053508_20200517T053533_021617_02909E_1E32_COG,S1B,VV,modern_range_x_azimuth,false,426038,0,27,3,661,661,0,0,0.0,0,0.03082128883421074,0.3987834430461731,-0.1359613407721305,PASS
S1B_IW_GRDH_1SDV_20200712T171407_20200712T171431_022441_02A977_2B36_COG,S1B,VH,modern_range_x_azimuth,false,422670,0,26,3,1295,1295,0,14,0.010810810810810811,0,0.19311344273111816,1.015688326840404,-0.9244350012594929,PASS
S1B_IW_GRDH_1SDV_20200712T171407_20200712T171431_022441_02A977_2B36_COG,S1B,VV,modern_range_x_azimuth,false,422670,0,26,3,1295,1295,0,0,0.0,0,0.0414203024926101,0.25066784891401533,-0.18371773501838184,PASS
S1B_IW_GRDH_1SDV_20200712T171407_20200712T171431_022441_02A977_56E1_COG,S1B,VH,modern_range_x_azimuth,false,422670,0,26,3,1295,1295,0,14,0.010810810810810811,0,0.19312688383931742,1.0156888615045174,-0.9264500237667654,PASS
S1B_IW_GRDH_1SDV_20200712T171407_20200712T171431_022441_02A977_56E1_COG,S1B,VV,modern_range_x_azimuth,false,422670,0,26,3,1295,1295,0,0,0.0,0,0.04139363873928113,0.250667562653991,-0.18359693379635011,PASS
S1B_IW_GRDH_1SDV_20200712T171432_20200712T171456_022441_02A977_1D82_COG,S1B,VH,modern_range_x_azimuth,false,422123,0,26,3,3035,3035,0,24,0.007907742998352554,0,0.1978553401288487,0.9468968010772755,-0.9498407578475856,PASS
S1B_IW_GRDH_1SDV_20200712T171432_20200712T171456_022441_02A977_1D82_COG,S1B,VV,modern_range_x_azimuth,false,422123,0,26,3,3035,3035,0,0,0.0,0,0.03767179348322553,0.22400884293459467,-0.16676784542515577,PASS
S1B_IW_GRDH_1SDV_20200712T171432_20200712T171456_022441_02A977_675E_COG,S1B,VH,modern_range_x_azimuth,false,422123,0,26,3,3035,3035,0,24,0.007907742998352554,0,0.19798150365492997,0.9468970099484225,-0.9498414435125468,PASS
S1B_IW_GRDH_1SDV_20200712T171432_20200712T171456_022441_02A977_675E_COG,S1B,VV,modern_range_x_azimuth,false,422123,0,26,3,3035,3035,0,0,0.0,0,0.037647142471842615,0.22667945004887538,-0.16665659792116294,PASS
S1B_IW_GRDH_1SDV_20200716T053446_20200716T053511_022492_02AB06_1455_COG,S1B,VH,modern_range_x_azimuth,false,413771,0,26,3,3440,3440,0,6,0.0017441860465116279,0,0.16018960670269422,0.7149244550593277,-0.7566023832490352,PASS
S1B_IW_GRDH_1SDV_20200716T053446_20200716T053511_022492_02AB06_1455_COG,S1B,VV,modern_range_x_azimuth,false,413771,0,26,3,3440,3440,0,0,0.0,0,0.03205442018451156,0.17947963221959168,-0.1414905908177504,PASS
S1B_IW_GRDH_1SDV_20200716T053455_20200716T053520_022492_02AB06_34E9_COG,S1B,VH,modern_range_x_azimuth,false,430466,0,27,3,4331,4331,0,20,0.004617871161394597,0,0.15777751664994036,0.793841740233696,-0.7428397839386882,PASS
S1B_IW_GRDH_1SDV_20200716T053455_20200716T053520_022492_02AB06_34E9_COG,S1B,VV,modern_range_x_azimuth,false,430466,0,27,3,4331,4331,0,0,0.0,0,0.03285620195328848,0.20695568814264606,-0.14508948817432632,PASS
S1B_IW_GRDH_1SDV_20200716T053511_20200716T053536_022492_02AB06_E10B_COG,S1B,VH,modern_range_x_azimuth,false,425874,0,27,3,891,891,0,4,0.004489337822671156,0,0.1759811250646015,0.8045619183900921,-0.8383610434989421,PASS
S1B_IW_GRDH_1SDV_20200716T053511_20200716T053536_022492_02AB06_E10B_COG,S1B,VV,modern_range_x_azimuth,false,425874,0,27,3,891,891,0,0,0.0,0,0.033336451862202,0.19787699953332205,-0.14724657884910286,PASS
S1B_IW_GRDH_1SDV_20200829T171409_20200829T171434_023141_02BF02_603C_COG,S1B,VH,modern_range_x_azimuth,false,422631,0,26,3,1298,1298,0,5,0.003852080123266564,0,0.13496656505700208,0.6409619551507576,-0.6235813346936006,PASS
S1B_IW_GRDH_1SDV_20200829T171409_20200829T171434_023141_02BF02_603C_COG,S1B,VV,modern_range_x_azimuth,false,422631,0,26,3,1298,1298,0,0,0.0,0,0.03359758472876754,0.1928750778500918,-0.14841993337330184,PASS
S1B_IW_GRDH_1SDV_20200829T171409_20200829T171434_023141_02BF02_B78B_COG,S1B,VH,modern_range_x_azimuth,false,422631,0,26,3,1298,1298,0,5,0.003852080123266564,0,0.13516749012194418,0.6409621014753072,-0.6244426569524926,PASS
S1B_IW_GRDH_1SDV_20200829T171409_20200829T171434_023141_02BF02_B78B_COG,S1B,VV,modern_range_x_azimuth,false,422631,0,26,3,1298,1298,0,0,0.0,0,0.033555259986592846,0.19341293039988147,-0.14822973537701056,PASS
S1B_IW_GRDH_1SDV_20200829T171434_20200829T171459_023141_02BF02_9109_COG,S1B,VH,modern_range_x_azimuth,false,422156,0,26,3,3033,3033,0,7,0.0023079459281239697,0,0.1237756699060006,0.6083764945816961,-0.5734171758131481,PASS
S1B_IW_GRDH_1SDV_20200829T171434_20200829T171459_023141_02BF02_9109_COG,S1B,VV,modern_range_x_azimuth,false,422156,0,26,3,3033,3033,0,0,0.0,0,0.03452546382644235,0.17781452032460107,-0.1525917599659632,PASS
S1B_IW_GRDH_1SDV_20200829T171434_20200829T171459_023141_02BF02_FAC5_COG,S1B,VH,modern_range_x_azimuth,false,422156,0,26,3,3033,3033,0,7,0.0023079459281239697,0,0.12367312393286328,0.608376638140139,-0.5726161108750043,PASS
S1B_IW_GRDH_1SDV_20200829T171434_20200829T171459_023141_02BF02_FAC5_COG,S1B,VV,modern_range_x_azimuth,false,422156,0,26,3,3033,3033,0,0,0.0,0,0.03450986853236906,0.17781448691485333,-0.15252160901733802,PASS
S1B_IW_GRDH_1SDV_20200902T053450_20200902T053515_023192_02C0A1_65BC_COG,S1B,VH,modern_range_x_azimuth,false,425891,0,27,3,3558,3558,0,12,0.003372681281618887,0,0.1352873144835181,0.6345345090785202,-0.6295753038668614,PASS
S1B_IW_GRDH_1SDV_20200902T053450_20200902T053515_023192_02C0A1_65BC_COG,S1B,VV,modern_range_x_azimuth,false,425891,0,27,3,3558,3558,0,0,0.0,0,0.032212311290692644,0.18223319798482182,-0.14219906881319577,PASS
S1B_IW_GRDH_1SDV_20200902T053457_20200902T053522_023192_02C0A1_694F_COG,S1B,VH,modern_range_x_azimuth,false,430463,0,27,3,4331,4331,0,11,0.002539829138767028,0,0.12069611359592121,0.6657283799617236,-0.5572581971099462,PASS
S1B_IW_GRDH_1SDV_20200902T053457_20200902T053522_023192_02C0A1_694F_COG,S1B,VV,modern_range_x_azimuth,false,430463,0,27,3,4331,4331,0,0,0.0,0,0.03469718680087357,0.16763828091267835,-0.1533642813593019,PASS
S1B_IW_GRDH_1SDV_20200902T053515_20200902T053540_023192_02C0A1_F39C_COG,S1B,VH,modern_range_x_azimuth,false,413646,0,26,3,773,773,0,7,0.009055627425614488,0,0.16418976013557982,0.9199028100869143,-0.7746811714769821,PASS
S1B_IW_GRDH_1SDV_20200902T053515_20200902T053540_023192_02C0A1_F39C_COG,S1B,VV,modern_range_x_azimuth,false,413646,0,26,3,773,773,0,0,0.0,0,0.035889404565393274,0.1798780677236839,-0.15873144279748708,PASS
S1C_IW_GRDH_1SDV_20250515T053436_20250515T053501_002337_004EE6_613B_COG,S1C,VH,modern_range_x_azimuth,false,436343,0,27,3,4331,4331,0,167,0.03855922419764488,0,0.18836753502534245,1.5082392524499846,-0.8620339602378788,PASS
S1C_IW_GRDH_1SDV_20250515T053436_20250515T053501_002337_004EE6_613B_COG,S1C,VV,modern_range_x_azimuth,false,436343,0,27,3,4331,4331,0,3,0.0006926806742091896,0,0.02610233641811251,0.49484816840843066,-0.11483432627681278,PASS
S1C_IW_GRDH_1SDV_20250714T053441_20250714T053506_003212_0067EB_EE07_COG,S1C,VH,modern_range_x_azimuth,false,436171,0,27,3,4331,4331,0,8,0.0018471484645578389,0,0.11067909487910788,0.5897555340569014,-0.5090991748061704,PASS
S1C_IW_GRDH_1SDV_20250714T053441_20250714T053506_003212_0067EB_EE07_COG,S1C,VV,modern_range_x_azimuth,false,436171,0,27,3,4331,4331,0,0,0.0,0,0.02204676822343012,0.15148795733446463,-0.09681913788086405,PASS
S1C_IW_GRDH_1SDV_20250831T053443_20250831T053508_003912_007CAC_02DA_COG,S1C,VH,modern_range_x_azimuth,false,436067,0,27,3,4331,4331,0,1,0.00023089355806972986,0,0.07231935574366485,0.36479465381963966,-0.3259991027168647,PASS
S1C_IW_GRDH_1SDV_20250831T053443_20250831T053508_003912_007CAC_02DA_COG,S1C,VV,modern_range_x_azimuth,false,436067,0,27,3,4331,4331,0,1,0.00023089355806972986,0,0.019415159635399363,0.10553508616051117,-0.0851320228654382,PASS
