anchor_year,season_phase,selected_date,orbit_state,relative_orbit,platform,polarization,points_n,corrected_finite_points_n,corrected_finite_share,sigma0_uncorrected_db_n,sigma0_uncorrected_db_min,sigma0_uncorrected_db_p01,sigma0_uncorrected_db_p10,sigma0_uncorrected_db_median,sigma0_uncorrected_db_mean,sigma0_uncorrected_db_p90,sigma0_uncorrected_db_p99,sigma0_uncorrected_db_max,sigma0_corrected_db_n,sigma0_corrected_db_min,sigma0_corrected_db_p01,sigma0_corrected_db_p10,sigma0_corrected_db_median,sigma0_corrected_db_mean,sigma0_corrected_db_p90,sigma0_corrected_db_p99,sigma0_corrected_db_max,noise_effect_db_n,noise_effect_db_min,noise_effect_db_p01,noise_effect_db_p10,noise_effect_db_median,noise_effect_db_mean,noise_effect_db_p90,noise_effect_db_p99,noise_effect_db_max
2015,mid_season,2015-07-13,descending,66,S1A,VH,4331,4322,0.9979219579773724,4331,-28.283434694789968,-23.65851352524817,-19.957027284369524,-16.646633668979803,-16.714035586121753,-13.563754464605623,-10.481731822480802,-1.543195276820171,4322,-43.12796646903753,-26.966122696758124,-21.281313666184076,-17.20203508167583,-17.461236239871972,-13.841575639392515,-10.605859704430419,-1.5675724940286906,4322,-18.108305178507965,-3.7874282102329433,-1.428300268183101,-0.5628316493637087,-0.7668199465283508,-0.2494782219377006,-0.11642765069723938,-0.02197332101273597
2015,mid_season,2015-07-13,descending,66,S1A,VV,4331,4331,1.0,4331,-22.19172895144339,-17.496942030248153,-13.828440040055163,-9.779166657367702,-9.84055916452032,-5.9434457585576865,-1.8501166179322588,9.976239989452987,4331,-25.20861340415422,-18.36250674273384,-14.12142855580612,-9.89156834257479,-9.992538038376159,-5.98629569544708,-1.8670909123566055,9.974756484703535,4331,-3.01688445271083,-0.7744307657574125,-0.3066477260625984,-0.10614319703111619,-0.1519788738558394,-0.03773878128545949,-0.014899769480894278,-0.0014835047494514697
2020,establishment,2020-05-13,ascending,15,S1B,VH,4331,4090,0.9443546525051951,4331,-31.019835617714957,-26.614837956619724,-22.93010054183042,-17.893287257292823,-18.09138316190288,-13.587870071346904,-10.375110034566424,-0.3470014341971064,4090,-51.625212250949716,-35.8833700100003,-26.311776069342283,-18.744158830868525,-19.58457605764459,-13.915097254667435,-10.529380725069151,-0.36972128116323394,4090,-28.696900978335115,-12.348261390541113,-4.343194925970999,-1.1020807157117751,-1.9195493383399824,-0.4010226207636356,-0.1885331417427976,-0.01726442109534121
2020,establishment,2020-05-13,ascending,15,S1B,VV,4331,4318,0.9969983837450935,4331,-26.037843050161975,-22.191311436607315,-15.92182573388566,-9.002196793632265,-9.592064593408558,-4.676670309467822,1.5552726539074466,14.509430749111033,4318,-45.77140181750255,-25.77920620700306,-16.410868253323173,-9.13209372769699,-9.903902511907365,-4.723502466028462,1.544284929791564,14.508861366049498,4318,-21.776889175673123,-4.097022164572372,-0.6649717705189876,-0.13522621237815535,-0.35671217724742493,-0.050675464554811527,-0.0115814023797034,-0.0005693830615349782
2020,establishment,2020-05-17,descending,66,S1B,VH,4331,4294,0.99145693835142,4331,-29.52546944425194,-26.293261139240197,-22.433079941973354,-17.569118548771424,-17.84223005706967,-13.82216551298415,-10.350599058106148,2.0987260899844844,4294,-44.206723511337955,-32.07799529358634,-25.087682162491667,-18.305316621180204,-18.954242831766187,-14.111979387173621,-10.361691057639167,5.101436630253619,4294,-17.32330467621394,-7.0897171651136395,-2.789431214517621,-0.7827249942343055,-1.1871852789036357,-0.2695867580792036,2.203883822964838,3.0027105402691343
2020,establishment,2020-05-17,descending,66,S1B,VV,4331,4331,1.0,4331,-24.110969727714348,-21.010848658666426,-14.430648487178125,-9.207167476070307,-9.698232238946517,-5.931618030250023,-1.3760266091739588,11.429161479029737,4331,-31.096020949537014,-22.595393481101567,-14.830942738612187,-9.318176477003187,-9.912704391765928,-5.993418714653372,-1.3975327744701638,11.427622481217037,4331,-8.128707870861668,-1.8664657081461762,-0.4056432659840592,-0.11576784466457468,-0.21447215281941143,-0.05026446123618289,-0.017791663190636995,2.93263397969499
2020,late_season,2020-08-29,ascending,15,S1B,VH,4331,4319,0.9972292773031632,4331,-28.28079589588654,-22.325510979315915,-18.550955783809282,-15.266165881835501,-15.344056483562877,-12.192101963505122,-9.827628605511512,1.6669266397227176,4319,-40.21219385738093,-25.687926757225707,-19.8824567242695,-15.843733465492475,-16.09796808829812,-12.480293542914453,-9.99466532993306,1.6603793151047563,4319,-17.211174632964838,-3.831224335334577,-1.3782579156723522,-0.5852079443170659,-0.7808395176946357,-0.27641579804615285,-0.14754069111587395,-0.006547324617961259
2020,late_season,2020-08-29,ascending,15,S1B,VV,4331,4331,1.0,4331,-22.69796065017463,-16.850746028031732,-13.164195110023503,-9.641784936140246,-9.675988806714159,-6.2671650699134105,-2.4524447915943437,14.917520653472572,4331,-27.40347168193911,-17.74170122941931,-13.513702671776493,-9.795808313210598,-9.872347028543562,-6.330256618144619,-2.4806965724770778,14.917009420115475,4331,-4.70551103176448,-0.859064964874965,-0.3582102075293889,-0.15144010590979384,-0.19635822182940407,-0.06637093430908525,-0.026599900323448514,-0.0005112333570966854
2020,late_season,2020-09-02,descending,66,S1B,VH,4331,4331,1.0,4331,-23.97215955701502,-20.99481535322145,-18.237360505637415,-15.679345852470961,-15.760123501234627,-13.429290453078501,-11.058889666076611,3.0509839493341957,4331,-32.23781799768866,-23.227298758788827,-19.304138931527504,-16.24008838484662,-16.42724349526003,-13.776822615517002,-11.253082692471986,3.0438353621123984,4331,-9.623208763806005,-2.462453213548611,-1.1397111104987019,-0.5664942065502281,-0.6671199940253988,-0.3081114814584467,-0.1184018044997849,2.7028789918312235
2020,late_season,2020-09-02,descending,66,S1B,VV,4331,4331,1.0,4331,-20.00723101639689,-15.451060802359693,-12.84239069713621,-10.251257989794787,-10.174789742910475,-7.486306084984145,-4.061655564368346,9.252705919551945,4331,-22.142318167928433,-15.937595034953853,-13.0877897313641,-10.399061632595817,-10.335715186758723,-7.562586991222951,-4.098816339706499,9.251073488569698,4331,-2.1350871515315433,-0.4971809759836093,-0.27189760131209617,-0.13909358399736327,-0.16092544384824706,-0.07001309942231693,-0.031145723667880428,-0.0016324309822461913
