canonical_scene_id,platform,polarization,calibration_xml_href,xml_fetch_attempts,raster_metadata_attempts,xml_bytes_n,calibration_vectors_n,first_vector_line,last_vector_line,min_pixel_lut_points_n,max_pixel_lut_points_n,absolute_calibration_constant,gcp_count,gcp_crs,sample_rows_n,sample_image_row_min,sample_image_row_max,sample_image_col_min,sample_image_col_max,row_outside_lut_support_n,range_outside_lut_support_n,sigma_lut_min,sigma_lut_max,sigma0_finite_n,status
S1A_IW_GRDH_1SDV_20250902T171508_20250902T171533_060812_07921D_08D0_COG,S1A,VH,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2025/09/02/S1A_IW_GRDH_1SDV_20250902T171508_20250902T171533_060812_07921D_08D0_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vh-20250902t171508-20250902t171533-060812-07921d-002-cog.xml,1,1,1032061,27,0,17346,658,658,1.0,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",4331,5969,12851,1089,12575,0,0,599.225625,655.7012575,4331,PASS
S1A_IW_GRDH_1SDV_20250902T171508_20250902T171533_060812_07921D_08D0_COG,S1A,VV,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2025/09/02/S1A_IW_GRDH_1SDV_20250902T171508_20250902T171533_060812_07921D_08D0_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vv-20250902t171508-20250902t171533-060812-07921d-001-cog.xml,1,1,1032061,27,0,17346,658,658,1.0,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",4331,5969,12851,1089,12575,0,0,599.225625,655.7012575,4331,PASS
S1B_IW_GRDH_1SDV_20200513T171403_20200513T171428_021566_028F1C_3676_COG,S1B,VH,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/05/13/S1B_IW_GRDH_1SDV_20200513T171403_20200513T171428_021566_028F1C_3676_COG.SAFE/annotation/calibration/calibration-s1b-iw-grd-vh-20200513t171403-20200513t171428-021566-028f1c-002-cog.xml,1,1,1041457,27,0,17357,664,664,1.393,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",1296,14477,16688,3880,12710,0,0,599.690075,639.4643,1296,PASS
S1B_IW_GRDH_1SDV_20200513T171403_20200513T171428_021566_028F1C_3676_COG,S1B,VV,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/05/13/S1B_IW_GRDH_1SDV_20200513T171403_20200513T171428_021566_028F1C_3676_COG.SAFE/annotation/calibration/calibration-s1b-iw-grd-vv-20200513t171403-20200513t171428-021566-028f1c-001-cog.xml,1,1,1041457,27,0,17357,664,664,1.393,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",1296,14477,16688,3880,12710,0,0,599.690075,639.4643,1296,PASS
S1B_IW_GRDH_1SDV_20200513T171428_20200513T171453_021566_028F1C_8C3C_COG,S1B,VH,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/05/13/S1B_IW_GRDH_1SDV_20200513T171428_20200513T171453_021566_028F1C_8C3C_COG.SAFE/annotation/calibration/calibration-s1b-iw-grd-vh-20200513t171428-20200513t171453-021566-028f1c-002-cog.xml,1,1,1043023,27,0,17357,665,665,1.393,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",3035,0,4674,1282,11804,0,0,603.4705,655.164895,3035,PASS
S1B_IW_GRDH_1SDV_20200513T171428_20200513T171453_021566_028F1C_8C3C_COG,S1B,VV,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/05/13/S1B_IW_GRDH_1SDV_20200513T171428_20200513T171453_021566_028F1C_8C3C_COG.SAFE/annotation/calibration/calibration-s1b-iw-grd-vv-20200513t171428-20200513t171453-021566-028f1c-001-cog.xml,1,1,1043023,27,0,17357,665,665,1.393,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",3035,0,4674,1282,11804,0,0,603.4705,655.164895,3035,PASS
S1B_IW_GRDH_1SDV_20200517T053443_20200517T053508_021617_02909E_D89D_COG,S1B,VH,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/05/17/S1B_IW_GRDH_1SDV_20200517T053443_20200517T053508_021617_02909E_D89D_COG.SAFE/annotation/calibration/calibration-s1b-iw-grd-vh-20200517t053443-20200517t053508-021617-02909e-002-cog.xml,1,1,1014835,27,0,17344,647,647,1.393,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",3670,12209,16674,2483,14184,0,0,591.52478,645.24346,3670,PASS
S1B_IW_GRDH_1SDV_20200517T053443_20200517T053508_021617_02909E_D89D_COG,S1B,VV,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/05/17/S1B_IW_GRDH_1SDV_20200517T053443_20200517T053508_021617_02909E_D89D_COG.SAFE/annotation/calibration/calibration-s1b-iw-grd-vv-20200517t053443-20200517t053508-021617-02909e-001-cog.xml,1,1,1014835,27,0,17344,647,647,1.393,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",3670,12209,16674,2483,14184,0,0,591.52478,645.24346,3670,PASS
S1B_IW_GRDH_1SDV_20200517T053451_20200517T053516_021617_02909E_5D39_COG,S1B,VH,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/05/17/S1B_IW_GRDH_1SDV_20200517T053451_20200517T053516_021617_02909E_5D39_COG.SAFE/annotation/calibration/calibration-s1b-iw-grd-vh-20200517t053451-20200517t053516-021617-02909e-002-cog.xml,1,1,1030494,27,0,17326,657,657,1.393,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",4331,7049,12912,2395,14206,0,0,592.09779,646.8051,4331,PASS
S1B_IW_GRDH_1SDV_20200517T053451_20200517T053516_021617_02909E_5D39_COG,S1B,VV,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/05/17/S1B_IW_GRDH_1SDV_20200517T053451_20200517T053516_021617_02909E_5D39_COG.SAFE/annotation/calibration/calibration-s1b-iw-grd-vv-20200517t053451-20200517t053516-021617-02909e-001-cog.xml,1,1,1030494,27,0,17326,657,657,1.393,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",4331,7049,12912,2395,14206,0,0,592.09779,646.8051,4331,PASS
