item_id,scl_href,open_attempts,driver,crs,crs_source,raster_crs_original,transform,width,height,dtype,nodata,support_points_inside_raster_n,support_points_sampled_n,unknown_scl_values_n,status,target_id,anchor_year,season_phase,s1_selected_date,optical_date,mgrs_tile,platform
S2A_MSIL2A_20200829T102031_N0500_R065_T32TMQ_20230417T021212,s3://eodata/Sentinel-2/MSI/L2A_N0500/2020/08/29/S2A_MSIL2A_20200829T102031_N0500_R065_T32TMQ_20230417T021212.SAFE/GRANULE/L2A_T32TMQ_A027089_20200829T102249/IMG_DATA/R20m/T32TMQ_20200829T102031_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,564,564,0,PASS,2020|late_season|2020-08-29|ascending|15,2020,late_season,2020-08-29,2020-08-29,32TMQ,S2A
S2A_MSIL2A_20200829T102031_N0500_R065_T32TMR_20230417T021212,s3://eodata/Sentinel-2/MSI/L2A_N0500/2020/08/29/S2A_MSIL2A_20200829T102031_N0500_R065_T32TMR_20230417T021212.SAFE/GRANULE/L2A_T32TMR_A027089_20200829T102249/IMG_DATA/R20m/T32TMR_20200829T102031_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,3585,3585,0,PASS,2020|late_season|2020-08-29|ascending|15,2020,late_season,2020-08-29,2020-08-29,32TMR,S2A
S2A_MSIL2A_20200829T102031_N0500_R065_T32TNQ_20230417T021212,s3://eodata/Sentinel-2/MSI/L2A_N0500/2020/08/29/S2A_MSIL2A_20200829T102031_N0500_R065_T32TNQ_20230417T021212.SAFE/GRANULE/L2A_T32TNQ_A027089_20200829T102249/IMG_DATA/R20m/T32TNQ_20200829T102031_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 499980.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,182,182,0,PASS,2020|late_season|2020-08-29|ascending|15,2020,late_season,2020-08-29,2020-08-29,32TNQ,S2A
S2A_MSIL2A_20200829T102031_N0500_R065_T32TNR_20230417T021212,s3://eodata/Sentinel-2/MSI/L2A_N0500/2020/08/29/S2A_MSIL2A_20200829T102031_N0500_R065_T32TNR_20230417T021212.SAFE/GRANULE/L2A_T32TNR_A027089_20200829T102249/IMG_DATA/R20m/T32TNR_20200829T102031_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 499980.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,1022,1022,0,PASS,2020|late_season|2020-08-29|ascending|15,2020,late_season,2020-08-29,2020-08-29,32TNR,S2A
S2B_MSIL2A_20200516T101559_N0500_R065_T32TMQ_20230428T102504,s3://eodata/Sentinel-2/MSI/L2A_N0500/2020/05/16/S2B_MSIL2A_20200516T101559_N0500_R065_T32TMQ_20230428T102504.SAFE/GRANULE/L2A_T32TMQ_A016679_20200516T102113/IMG_DATA/R20m/T32TMQ_20200516T101559_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,564,564,0,PASS,2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,32TMQ,S2B
S2B_MSIL2A_20200516T101559_N0500_R065_T32TMR_20230428T102504,s3://eodata/Sentinel-2/MSI/L2A_N0500/2020/05/16/S2B_MSIL2A_20200516T101559_N0500_R065_T32TMR_20230428T102504.SAFE/GRANULE/L2A_T32TMR_A016679_20200516T102113/IMG_DATA/R20m/T32TMR_20200516T101559_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,3585,3585,0,PASS,2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,32TMR,S2B
S2B_MSIL2A_20200516T101559_N0500_R065_T32TNQ_20230428T102504,s3://eodata/Sentinel-2/MSI/L2A_N0500/2020/05/16/S2B_MSIL2A_20200516T101559_N0500_R065_T32TNQ_20230428T102504.SAFE/GRANULE/L2A_T32TNQ_A016679_20200516T102113/IMG_DATA/R20m/T32TNQ_20200516T101559_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 499980.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,182,182,0,PASS,2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,32TNQ,S2B
S2B_MSIL2A_20200516T101559_N0500_R065_T32TNR_20230428T102504,s3://eodata/Sentinel-2/MSI/L2A_N0500/2020/05/16/S2B_MSIL2A_20200516T101559_N0500_R065_T32TNR_20230428T102504.SAFE/GRANULE/L2A_T32TNR_A016679_20200516T102113/IMG_DATA/R20m/T32TNR_20200516T101559_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 499980.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,1022,1022,0,PASS,2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,32TNR,S2B
S2B_MSIL2A_20200715T101559_N0500_R065_T32TMQ_20230423T052638,s3://eodata/Sentinel-2/MSI/L2A_N0500/2020/07/15/S2B_MSIL2A_20200715T101559_N0500_R065_T32TMQ_20230423T052638.SAFE/GRANULE/L2A_T32TMQ_A017537_20200715T102036/IMG_DATA/R20m/T32TMQ_20200715T101559_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,564,564,0,PASS,2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,32TMQ,S2B
S2B_MSIL2A_20200715T101559_N0500_R065_T32TMR_20230423T052638,s3://eodata/Sentinel-2/MSI/L2A_N0500/2020/07/15/S2B_MSIL2A_20200715T101559_N0500_R065_T32TMR_20230423T052638.SAFE/GRANULE/L2A_T32TMR_A017537_20200715T102036/IMG_DATA/R20m/T32TMR_20200715T101559_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,3585,3585,0,PASS,2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,32TMR,S2B
S2B_MSIL2A_20200715T101559_N0500_R065_T32TNQ_20230423T052638,s3://eodata/Sentinel-2/MSI/L2A_N0500/2020/07/15/S2B_MSIL2A_20200715T101559_N0500_R065_T32TNQ_20230423T052638.SAFE/GRANULE/L2A_T32TNQ_A017537_20200715T102036/IMG_DATA/R20m/T32TNQ_20200715T101559_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 499980.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,182,182,0,PASS,2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,32TNQ,S2B
S2B_MSIL2A_20200715T101559_N0500_R065_T32TNR_20230423T052638,s3://eodata/Sentinel-2/MSI/L2A_N0500/2020/07/15/S2B_MSIL2A_20200715T101559_N0500_R065_T32TNR_20230423T052638.SAFE/GRANULE/L2A_T32TNR_A017537_20200715T102036/IMG_DATA/R20m/T32TNR_20200715T101559_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 499980.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,1022,1022,0,PASS,2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,32TNR,S2B
S2A_MSIL2A_20200901T103031_N0500_R108_T32TMQ_20230418T003836,s3://eodata/Sentinel-2/MSI/L2A_N0500/2020/09/01/S2A_MSIL2A_20200901T103031_N0500_R108_T32TMQ_20230418T003836.SAFE/GRANULE/L2A_T32TMQ_A027132_20200901T103505/IMG_DATA/R20m/T32TMQ_20200901T103031_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,564,564,0,PASS,2020|late_season|2020-09-02|descending|66,2020,late_season,2020-09-02,2020-09-01,32TMQ,S2A
S2A_MSIL2A_20200901T103031_N0500_R108_T32TMR_20230418T003836,s3://eodata/Sentinel-2/MSI/L2A_N0500/2020/09/01/S2A_MSIL2A_20200901T103031_N0500_R108_T32TMR_20230418T003836.SAFE/GRANULE/L2A_T32TMR_A027132_20200901T103505/IMG_DATA/R20m/T32TMR_20200901T103031_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,3585,3585,0,PASS,2020|late_season|2020-09-02|descending|66,2020,late_season,2020-09-02,2020-09-01,32TMR,S2A
