path,suffix,rows_n,columns_n,date_col,orbit_state_col,relative_orbit_col,id_col,platform_col,structural_score,read_status,notes,rows_sort
outputs\diagnostics\design_c\c2d_canal_archive_evidence_matches.csv,.csv,327.0,12.0,,,,,,0,PASS,,327.0
outputs\diagnostics\design_c\c2b_manufatti_idraulici_attributes.csv,.csv,302.0,11.0,,,,,,0,PASS,,302.0
outputs\diagnostics\design_c\c1_public_groundwater_rice_season_by_station_year.csv,.csv,274.0,11.0,,,,,,0,PASS,,274.0
outputs\diagnostics\design_c\c1_public_sidro_sensors_near_study_area.csv,.csv,273.0,16.0,,,,,,0,PASS,,273.0
outputs\diagnostics\design_c\c2b_est_sesia_official_reconciliation.csv,.csv,271.0,13.0,,,,,,0,PASS,,271.0
outputs\diagnostics\design_c\c2e_secondary_token_leads.csv,.csv,250.0,14.0,,,,,,0,PASS,,250.0
outputs\diagnostics\design_c\c2qr_target_cross_sensor_correlations.csv,.csv,168.0,10.0,,,,,,0,PASS,,168.0
data\processed\post2021\well_frozen_ff10_exposures_2022_2025.csv,.csv,148.0,8.0,,,,,,0,PASS,,148.0
data\processed\post2021\well_weather_A8_2022_2025.csv,.csv,148.0,55.0,,,,,,0,PASS,,148.0
outputs\diagnostics\design_c\c2b_est_sesia_canal_inventory.csv,.csv,148.0,8.0,,,,,,0,PASS,,148.0
outputs\diagnostics\design_c\c2pb_scl_class_distribution.csv,.csv,120.0,8.0,,,,,,0,PASS,,120.0
outputs\diagnostics\design_c\c2pa_sentinel2_s1_target_matchability.csv,.csv,90.0,19.0,,,,,,0,PASS,,90.0
outputs\diagnostics\design_c\c2e_exact_canal_evidence.csv,.csv,77.0,15.0,,,,,,0,PASS,,77.0
outputs\diagnostics\design_c\c2f_verified_source_evidence.csv,.csv,77.0,12.0,,,,,,0,PASS,,77.0
data\processed\post2021\well_frozen_ff10_exposures_2022_2023.csv,.csv,74.0,8.0,,,,,,0,PASS,,74.0
data\processed\post2021\well_weather_A8_2022_2023.csv,.csv,74.0,55.0,,,,,,0,PASS,,74.0
outputs\diagnostics\design_c\c2e_gauge_station_candidates.csv,.csv,69.0,7.0,,,,,,0,PASS,,69.0
outputs\diagnostics\design_c\c2f_candidate_identifier_review.csv,.csv,69.0,9.0,,,,,,0,PASS,,69.0
data\processed\publication_groundwater\groundwater_station_metadata.csv,.csv,68.0,11.0,,,,,,0,PASS,,68.0
outputs\diagnostics\design_c\c2c_groundwater_irrigation_spatial_linkage.csv,.csv,68.0,46.0,,,,,,0,PASS,,68.0
outputs\diagnostics\design_c\c2c_groundwater_official_est_sesia_linkage.csv,.csv,68.0,37.0,,,,,,0,PASS,,68.0
outputs\diagnostics\design_c\c2c_station_canal_review.csv,.csv,68.0,14.0,,,,,,0,PASS,,68.0
outputs\diagnostics\design_c\c2c_station_est_sesia_review.csv,.csv,68.0,19.0,,,,,,0,PASS,,68.0
outputs\diagnostics\design_c\c2d_canal_family_station_context.csv,.csv,68.0,22.0,,,,,,0,PASS,,68.0
outputs\diagnostics\design_c\c2h_station_temporal_availability.csv,.csv,68.0,7.0,,,,,,0,PASS,,68.0
outputs\diagnostics\design_c\c2r_observed_ff_sensor_rank_associations.csv,.csv,56.0,9.0,,,,,,0,PASS,,56.0
data\processed\post2021\post2021_primary_balanced_panel_2022_2025.csv,.csv,48.0,7.0,,,,,,0,PASS,,48.0
outputs\diagnostics\design_c\c2d_canal_family_priority.csv,.csv,37.0,16.0,,,,,,0,PASS,,37.0
outputs\diagnostics\design_c\c2e_canal_evidence_summary.csv,.csv,37.0,13.0,,,,,,0,PASS,,37.0
outputs\diagnostics\design_c\c2f_canal_source_coverage.csv,.csv,37.0,11.0,,,,,,0,PASS,,37.0
outputs\diagnostics\design_c\c1_public_groundwater_native_cadence_by_station.csv,.csv,35.0,21.0,,,,,,0,PASS,,35.0
outputs\diagnostics\design_c\c2b_est_sesia_unmatched_names.csv,.csv,33.0,7.0,,,,,,0,PASS,,33.0
outputs\diagnostics\design_c\c2r_observed_ff_quartile_sensor_summary.csv,.csv,28.0,24.0,,,,,,0,PASS,,28.0
outputs\diagnostics\design_c\c2a_text_extraction_inventory.csv,.csv,22.0,5.0,,,,,,0,PASS,,22.0
outputs\diagnostics\design_c\c2s_phase_construct_consistency.csv,.csv,21.0,9.0,,,,,,0,PASS,,21.0
outputs\diagnostics\design_c\c2b_official_riru_zip_inventory.csv,.csv,20.0,7.0,,,,,,0,PASS,,20.0
outputs\diagnostics\design_c\c2i_ricefloodit_file_inventory.csv,.csv,19.0,4.0,,,,,,0,PASS,,19.0
outputs\diagnostics\design_c\c2i_ricefloodit_schema_audit.csv,.csv,19.0,7.0,,,,,,0,PASS,,19.0
data\design_c\metadata\c1b_maximum_public_irrigation_archive_manifest.csv,.csv,17.0,19.0,,,,,,0,PASS,,17.0
outputs\diagnostics\design_c\c2a_manifest_verification.csv,.csv,17.0,12.0,,,,,,0,PASS,,17.0
outputs\diagnostics\design_c\c2pb_corrected_scl_usability_summary.csv,.csv,14.0,24.0,,,,,,0,PASS,,14.0
outputs\diagnostics\design_c\c2pb_final_scl_usability_summary.csv,.csv,14.0,22.0,,,,,,0,PASS,,14.0
outputs\diagnostics\design_c\c2pb_target_scl_usability_summary.csv,.csv,14.0,20.0,,,,,,0,PASS,,14.0
outputs\diagnostics\design_c\c2pc1_out_of_range_index_cases.csv,.csv,14.0,17.0,,,,,,0,PASS,,14.0
outputs\diagnostics\design_c\c2pc2_sentinel2_index_summary.csv,.csv,14.0,30.0,,,,,,0,PASS,,14.0
outputs\diagnostics\design_c\c2pc2_sentinel2_target_reflectance_summary.csv,.csv,14.0,28.0,,,,,,0,PASS,,14.0
outputs\diagnostics\design_c\c2pc_sentinel2_index_summary.csv,.csv,14.0,30.0,,,,,,0,PASS,,14.0
outputs\diagnostics\design_c\c2pc_sentinel2_target_reflectance_summary.csv,.csv,14.0,26.0,,,,,,0,PASS,,14.0
outputs\diagnostics\design_c\c2qr_target_cross_sensor_summary.csv,.csv,14.0,33.0,,,,,,0,PASS,,14.0
data\processed\post2021\heldout_groundwater_first_difference_panel.csv,.csv,13.0,6.0,,,,,,0,PASS,,13.0
outputs\diagnostics\design_c\c2ir_sentinel1_maximum_archive_by_year.csv,.csv,13.0,6.0,,,,,,0,PASS,,13.0
outputs\diagnostics\design_c\c2ir_sentinel1_rice_season_by_year.csv,.csv,12.0,11.0,,,,,,0,PASS,,12.0
outputs\diagnostics\design_c\c2pa_sentinel2_annual_inventory.csv,.csv,12.0,18.0,,,,,,0,PASS,,12.0
data\design_c\metadata\c2b_sibiter_public_acquisition_manifest.csv,.csv,11.0,6.0,,,,,,0,PASS,,11.0
outputs\diagnostics\design_c\c2b_impianti_sollevamento_attributes.csv,.csv,10.0,17.0,,,,,,0,PASS,,10.0
outputs\diagnostics\design_c\c1_public_groundwater_native_cadence_by_year.csv,.csv,9.0,8.0,,,,,,0,PASS,,9.0
outputs\diagnostics\design_c\c1_public_sentinel1_inventory_by_year.csv,.csv,9.0,3.0,,,,,,0,PASS,,9.0
outputs\diagnostics\design_c\c2i_sentinel1_rice_season_by_year.csv,.csv,9.0,13.0,,,,,,0,PASS,,9.0
outputs\diagnostics\design_c\c2r_observed_ff_target_summary.csv,.csv,8.0,14.0,,,,,,0,PASS,,8.0
data\design_c\metadata\c1b_public_temporal_horizon_register.csv,.csv,7.0,5.0,,,,,,0,PASS,,7.0
outputs\diagnostics\design_c\c2i_sentinel1_metadata_support.csv,.csv,7.0,6.0,,,,,,0,PASS,,7.0
outputs\diagnostics\design_c\c2s_sensor_construct_consistency.csv,.csv,7.0,11.0,,,,,,0,PASS,,7.0
outputs\diagnostics\design_c\c2a_evidence_category_summary.csv,.csv,6.0,3.0,,,,,,0,PASS,,6.0
outputs\diagnostics\design_c\c2a_isil_bundle_inventory.csv,.csv,6.0,11.0,,,,,,0,PASS,,6.0
outputs\diagnostics\design_c\c2pc1_overlap_spread_quantiles.csv,.csv,6.0,13.0,,,,,,0,PASS,,6.0
outputs\diagnostics\design_c\c1_public_source_status.csv,.csv,5.0,5.0,,,,,,0,PASS,,5.0
outputs\diagnostics\design_c\c2b_official_riru_spatial_dataset_inventory.csv,.csv,5.0,15.0,,,,,,0,PASS,,5.0
outputs\diagnostics\design_c\c2b_sibiter_layer_summary.csv,.csv,5.0,7.0,,,,,,0,PASS,,5.0
outputs\diagnostics\design_c\c2g_public_endpoint_audit.csv,.csv,5.0,8.0,,,,,,0,PASS,,5.0
outputs\diagnostics\design_c\c2g_target_series_feasibility.csv,.csv,4.0,12.0,,,,,,0,PASS,,4.0
outputs\diagnostics\design_c\c2pa_sentinel2_tile_inventory.csv,.csv,4.0,8.0,,,,,,0,PASS,,4.0
outputs\diagnostics\design_c\c2g_est_sesia_current_snapshot.csv,.csv,3.0,7.0,,,,,,0,PASS,,3.0
outputs\diagnostics\design_c\c2qr_phase_cross_sensor_summary.csv,.csv,3.0,25.0,,,,,,0,PASS,,3.0
outputs\diagnostics\design_c\c1_public_sidro_registry_parse_qa.csv,.csv,1.0,9.0,,,,,,0,PASS,,1.0
outputs\diagnostics\design_c\c2i_sentinel1_scene_inventory_audit.csv,.csv,1.0,12.0,,,,,,0,PASS,,1.0
outputs\diagnostics\design_c\c2b_official_riru_candidate_irrigation_layers.csv,.csv,,,,,,,,0,ERROR,No columns to parse from file,-1.0
outputs\diagnostics\design_c\c2b_official_vs_rest_est_sesia_crosscheck.csv,.csv,,,,,,,,0,ERROR,No columns to parse from file,-1.0
