coord_key,s1_point_index,point_id,lon,lat,support_id,numeric_id_equal
8.454410367|45.149998385,1877,ricept_1877,8.454410367296754,45.14999838530718,611,False
8.478042542|45.149998385,1878,ricept_1878,8.47804254162882,45.14999838530718,612,False
8.52530689|45.149998385,1879,ricept_1879,8.525306890292955,45.14999838530718,613,False
8.537122977|45.149998385,1880,ricept_1880,8.537122977458987,45.14999838530718,614,False
8.584387326|45.149998385,2245,ricept_2245,8.584387326123121,45.14999838530718,615,False
8.596203413|45.149998385,2246,ricept_2246,8.596203413289151,45.14999838530718,616,False
8.6080195|45.149998385,2247,ricept_2247,8.608019500455185,45.14999838530718,617,False
8.619835588|45.149998385,2248,ricept_2248,8.619835587621218,45.14999838530718,618,False
8.631651675|45.149998385,5932,ricept_5932,8.631651674787253,45.14999838530718,619,False
8.643467762|45.149998385,2249,ricept_2249,8.643467761953286,45.14999838530718,620,False
8.655283849|45.149998385,2250,ricept_2250,8.655283849119318,45.14999838530718,621,False
8.678916023|45.149998385,2251,ricept_2251,8.678916023451384,45.14999838530718,622,False
8.690732111|45.149998385,2252,ricept_2252,8.690732110617418,45.14999838530718,623,False
8.702548198|45.149998385,2253,ricept_2253,8.702548197783452,45.14999838530718,624,False
8.726180372|45.149998385,2254,ricept_2254,8.726180372115518,45.14999838530718,625,False
8.737996459|45.149998385,2255,ricept_2255,8.73799645928155,45.14999838530718,626,False
8.749812546|45.149998385,2256,ricept_2256,8.749812546447584,45.14999838530718,627,False
8.761628634|45.149998385,2257,ricept_2257,8.761628633613617,45.14999838530718,628,False
8.773444721|45.149998385,2258,ricept_2258,8.77344472077965,45.14999838530718,629,False
8.785260808|45.149998385,2259,ricept_2259,8.785260807945685,45.14999838530718,630,False
8.797076895|45.149998385,2260,ricept_2260,8.797076895111717,45.14999838530718,631,False
8.808892982|45.149998385,2261,ricept_2261,8.808892982277749,45.14999838530718,632,False
8.820709069|45.149998385,2262,ricept_2262,8.820709069443783,45.14999838530718,633,False
8.832525157|45.149998385,2263,ricept_2263,8.832525156609817,45.14999838530718,634,False
8.844341244|45.149998385,2264,ricept_2264,8.844341243775851,45.14999838530718,635,False
8.856157331|45.149998385,2265,ricept_2265,8.856157330941883,45.14999838530718,636,False
8.867973418|45.149998385,2266,ricept_2266,8.867973418107917,45.14999838530718,637,False
8.879789505|45.149998385,2267,ricept_2267,8.879789505273948,45.14999838530718,638,False
8.891605592|45.149998385,2268,ricept_2268,8.891605592439982,45.14999838530718,639,False
8.90342168|45.149998385,2269,ricept_2269,8.903421679606017,45.14999838530718,640,False
8.915237767|45.149998385,2270,ricept_2270,8.91523776677205,45.14999838530718,641,False
8.927053854|45.149998385,5955,ricept_5955,8.927053853938084,45.14999838530718,642,False
8.938869941|45.149998385,2271,ricept_2271,8.938869941104116,45.14999838530718,643,False
8.962502115|45.149998385,5957,ricept_5957,8.962502115436182,45.14999838530718,644,False
8.974318203|45.149998385,2272,ricept_2272,8.974318202602214,45.14999838530718,645,False
8.98613429|45.149998385,2273,ricept_2273,8.986134289768248,45.14999838530718,646,False
8.997950377|45.149998385,2274,ricept_2274,8.99795037693428,45.14999838530718,647,False
9.009766464|45.149998385,2275,ricept_2275,9.009766464100316,45.14999838530718,648,False
9.021582551|45.149998385,2276,ricept_2276,9.021582551266349,45.14999838530718,649,False
9.033398638|45.149998385,2277,ricept_2277,9.03339863843238,45.14999838530718,650,False
9.045214726|45.149998385,2278,ricept_2278,9.045214725598417,45.14999838530718,651,False
9.057030813|45.149998385,2279,ricept_2279,9.057030812764449,45.14999838530718,652,False
9.0688469|45.149998385,2280,ricept_2280,9.06884689993048,45.14999838530718,653,False
