scene_id,resolve_status,resolve_source,remote_attempts,platform,datetime,end_datetime,instrument_mode,polarizations,orbit_state,relative_orbit,absolute_orbit,product_type,processing_level,bbox,asset_count,stac_item_url
S1A_IW_GRDH_1SDV_20150522T171425_20150522T171450_006037_007CBA_4DE2_COG,OK,CACHE,0,sentinel-1a,2015-05-22T17:14:25.193808Z,2015-05-22T17:14:50.192030Z,IW,VV|VH,ascending,15,6037,,L1,"[7.778301, 44.188496, 11.439551, 46.093578]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150522T171425_20150522T171450_006037_007CBA_4DE2_COG
S1A_IW_GRDH_1SDV_20150603T171426_20150603T171451_006212_0081AF_101C_COG,OK,CACHE,0,sentinel-1a,2015-06-03T17:14:26.012646Z,2015-06-03T17:14:51.011312Z,IW,VV|VH,ascending,15,6212,,L1,"[7.778862, 44.188496, 11.354915, 46.084263]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150603T171426_20150603T171451_006212_0081AF_101C_COG
S1A_IW_GRDH_1SDV_20150607T053451_20150607T053520_006263_008344_BC7D_COG,OK,CACHE,0,sentinel-1a,2015-06-07T05:34:51.580930Z,2015-06-07T05:35:20.495678Z,IW,VV|VH,descending,66,6263,,L1,"[6.643266, 45.078396, 10.304836, 47.212372]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150607T053451_20150607T053520_006263_008344_BC7D_COG
S1A_IW_GRDH_1SDV_20150607T053520_20150607T053545_006263_008344_2741_COG,OK,CACHE,0,sentinel-1a,2015-06-07T05:35:20.497174Z,2015-06-07T05:35:45.495994Z,IW,VV|VH,descending,66,6263,,L1,"[6.314812, 43.579262, 9.862043, 45.474327]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150607T053520_20150607T053545_006263_008344_2741_COG
S1A_IW_GRDH_1SDV_20150614T052642_20150614T052710_006365_00862F_7CF0_COG,OK,CACHE,0,sentinel-1a,2015-06-14T05:26:42.013974Z,2015-06-14T05:27:10.917763Z,IW,VV|VH,descending,168,6365,,L1,"[8.6502, 44.853794, 12.306503, 46.986313]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150614T052642_20150614T052710_006365_00862F_7CF0_COG
S1A_IW_GRDH_1SDV_20150615T171426_20150615T171451_006387_0086C9_677D_COG,OK,CACHE,0,sentinel-1a,2015-06-15T17:14:26.780736Z,2015-06-15T17:14:51.778781Z,IW,VV|VH,ascending,15,6387,,L1,"[7.778911, 44.188503, 11.354346, 46.084152]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150615T171426_20150615T171451_006387_0086C9_677D_COG
S1A_IW_GRDH_1SDV_20150619T053452_20150619T053521_006438_008841_0C7C_COG,OK,CACHE,0,sentinel-1a,2015-06-19T05:34:52.148436Z,2015-06-19T05:35:21.058478Z,IW,VV|VH,descending,66,6438,,L1,"[6.642821, 45.078499, 10.3046, 47.212063]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150619T053452_20150619T053521_006438_008841_0C7C_COG
S1A_IW_GRDH_1SDV_20150626T052642_20150626T052711_006540_008B28_6BB4_COG,OK,CACHE,0,sentinel-1a,2015-06-26T05:26:42.760543Z,2015-06-26T05:27:11.667196Z,IW,VV|VH,descending,168,6540,,L1,"[8.650721, 44.853729, 12.306854, 46.986435]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150626T052642_20150626T052711_006540_008B28_6BB4_COG
S1A_IW_GRDH_1SDV_20150627T171427_20150627T171452_006562_008BB6_62AA_COG,OK,CACHE,0,sentinel-1a,2015-06-27T17:14:27.639146Z,2015-06-27T17:14:52.637568Z,IW,VV|VH,ascending,15,6562,,L1,"[7.777289, 44.188499, 11.353368, 46.084286]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150627T171427_20150627T171452_006562_008BB6_62AA_COG
S1A_IW_GRDH_1SDV_20150701T053452_20150701T053521_006613_008D1C_BA62_COG,OK,CACHE,0,sentinel-1a,2015-07-01T05:34:52.121898Z,2015-07-01T05:35:21.021392Z,IW,VV|VH,descending,66,6613,,L1,"[6.641052, 45.078526, 10.302719, 47.211437]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150701T053452_20150701T053521_006613_008D1C_BA62_COG
