anchor_year,season_phase,selected_date,orbit_state,relative_orbit,canonical_scene_id,platform,vv_asset_found,vv_asset_key,vv_href,vh_asset_found,vh_asset_key,vh_href,canonical_scenes_n,platforms,vv_assets_complete,vh_assets_complete
2020,establishment,2020-05-13,ascending,15,S1B_IW_GRDH_1SDV_20200513T171428_20200513T171453_021566_028F1C_8C3C_COG,S1B,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/05/13/S1B_IW_GRDH_1SDV_20200513T171428_20200513T171453_021566_028F1C_8C3C_COG.SAFE/measurement/s1b-iw-grd-vv-20200513t171428-20200513t171453-021566-028f1c-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/05/13/S1B_IW_GRDH_1SDV_20200513T171428_20200513T171453_021566_028F1C_8C3C_COG.SAFE/measurement/s1b-iw-grd-vh-20200513t171428-20200513t171453-021566-028f1c-002-cog.tiff,2,S1B,True,True
2020,mid_season,2020-07-12,ascending,15,S1B_IW_GRDH_1SDV_20200712T171407_20200712T171431_022441_02A977_2B36_COG,S1B,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/07/12/S1B_IW_GRDH_1SDV_20200712T171407_20200712T171431_022441_02A977_2B36_COG.SAFE/measurement/s1b-iw-grd-vv-20200712t171407-20200712t171431-022441-02a977-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/07/12/S1B_IW_GRDH_1SDV_20200712T171407_20200712T171431_022441_02A977_2B36_COG.SAFE/measurement/s1b-iw-grd-vh-20200712t171407-20200712t171431-022441-02a977-002-cog.tiff,4,S1B,True,True
2020,mid_season,2020-07-12,ascending,15,S1B_IW_GRDH_1SDV_20200712T171407_20200712T171431_022441_02A977_56E1_COG,S1B,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/07/12/S1B_IW_GRDH_1SDV_20200712T171407_20200712T171431_022441_02A977_56E1_COG.SAFE/measurement/s1b-iw-grd-vv-20200712t171407-20200712t171431-022441-02a977-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/07/12/S1B_IW_GRDH_1SDV_20200712T171407_20200712T171431_022441_02A977_56E1_COG.SAFE/measurement/s1b-iw-grd-vh-20200712t171407-20200712t171431-022441-02a977-002-cog.tiff,4,S1B,True,True
2020,mid_season,2020-07-12,ascending,15,S1B_IW_GRDH_1SDV_20200712T171432_20200712T171456_022441_02A977_1D82_COG,S1B,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/07/12/S1B_IW_GRDH_1SDV_20200712T171432_20200712T171456_022441_02A977_1D82_COG.SAFE/measurement/s1b-iw-grd-vv-20200712t171432-20200712t171456-022441-02a977-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/07/12/S1B_IW_GRDH_1SDV_20200712T171432_20200712T171456_022441_02A977_1D82_COG.SAFE/measurement/s1b-iw-grd-vh-20200712t171432-20200712t171456-022441-02a977-002-cog.tiff,4,S1B,True,True
2020,mid_season,2020-07-12,ascending,15,S1B_IW_GRDH_1SDV_20200712T171432_20200712T171456_022441_02A977_675E_COG,S1B,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/07/12/S1B_IW_GRDH_1SDV_20200712T171432_20200712T171456_022441_02A977_675E_COG.SAFE/measurement/s1b-iw-grd-vv-20200712t171432-20200712t171456-022441-02a977-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/07/12/S1B_IW_GRDH_1SDV_20200712T171432_20200712T171456_022441_02A977_675E_COG.SAFE/measurement/s1b-iw-grd-vh-20200712t171432-20200712t171456-022441-02a977-002-cog.tiff,4,S1B,True,True
2020,late_season,2020-08-29,ascending,15,S1B_IW_GRDH_1SDV_20200829T171409_20200829T171434_023141_02BF02_603C_COG,S1B,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/08/29/S1B_IW_GRDH_1SDV_20200829T171409_20200829T171434_023141_02BF02_603C_COG.SAFE/measurement/s1b-iw-grd-vv-20200829t171409-20200829t171434-023141-02bf02-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/08/29/S1B_IW_GRDH_1SDV_20200829T171409_20200829T171434_023141_02BF02_603C_COG.SAFE/measurement/s1b-iw-grd-vh-20200829t171409-20200829t171434-023141-02bf02-002-cog.tiff,4,S1B,True,True
2020,late_season,2020-08-29,ascending,15,S1B_IW_GRDH_1SDV_20200829T171409_20200829T171434_023141_02BF02_B78B_COG,S1B,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/08/29/S1B_IW_GRDH_1SDV_20200829T171409_20200829T171434_023141_02BF02_B78B_COG.SAFE/measurement/s1b-iw-grd-vv-20200829t171409-20200829t171434-023141-02bf02-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/08/29/S1B_IW_GRDH_1SDV_20200829T171409_20200829T171434_023141_02BF02_B78B_COG.SAFE/measurement/s1b-iw-grd-vh-20200829t171409-20200829t171434-023141-02bf02-002-cog.tiff,4,S1B,True,True
2020,late_season,2020-08-29,ascending,15,S1B_IW_GRDH_1SDV_20200829T171434_20200829T171459_023141_02BF02_9109_COG,S1B,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/08/29/S1B_IW_GRDH_1SDV_20200829T171434_20200829T171459_023141_02BF02_9109_COG.SAFE/measurement/s1b-iw-grd-vv-20200829t171434-20200829t171459-023141-02bf02-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/08/29/S1B_IW_GRDH_1SDV_20200829T171434_20200829T171459_023141_02BF02_9109_COG.SAFE/measurement/s1b-iw-grd-vh-20200829t171434-20200829t171459-023141-02bf02-002-cog.tiff,4,S1B,True,True
2020,late_season,2020-08-29,ascending,15,S1B_IW_GRDH_1SDV_20200829T171434_20200829T171459_023141_02BF02_FAC5_COG,S1B,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/08/29/S1B_IW_GRDH_1SDV_20200829T171434_20200829T171459_023141_02BF02_FAC5_COG.SAFE/measurement/s1b-iw-grd-vv-20200829t171434-20200829t171459-023141-02bf02-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/08/29/S1B_IW_GRDH_1SDV_20200829T171434_20200829T171459_023141_02BF02_FAC5_COG.SAFE/measurement/s1b-iw-grd-vh-20200829t171434-20200829t171459-023141-02bf02-002-cog.tiff,4,S1B,True,True
2020,establishment,2020-05-17,descending,66,S1B_IW_GRDH_1SDV_20200517T053443_20200517T053508_021617_02909E_D89D_COG,S1B,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/05/17/S1B_IW_GRDH_1SDV_20200517T053443_20200517T053508_021617_02909E_D89D_COG.SAFE/measurement/s1b-iw-grd-vv-20200517t053443-20200517t053508-021617-02909e-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/05/17/S1B_IW_GRDH_1SDV_20200517T053443_20200517T053508_021617_02909E_D89D_COG.SAFE/measurement/s1b-iw-grd-vh-20200517t053443-20200517t053508-021617-02909e-002-cog.tiff,3,S1B,True,True
