anchor_year,season_phase,selected_date,orbit_state,relative_orbit,platform,polarization,points_n,points_with_multi_scene_overlap_n,sigma0_db_n,sigma0_db_min,sigma0_db_p01,sigma0_db_p10,sigma0_db_median,sigma0_db_mean,sigma0_db_p90,sigma0_db_p99,sigma0_db_max,sigma0_db_sd,beta0_db_n,beta0_db_min,beta0_db_p01,beta0_db_p10,beta0_db_median,beta0_db_mean,beta0_db_p90,beta0_db_p99,beta0_db_max,beta0_db_sd,gamma0_db_n,gamma0_db_min,gamma0_db_p01,gamma0_db_p10,gamma0_db_median,gamma0_db_mean,gamma0_db_p90,gamma0_db_p99,gamma0_db_max,gamma0_db_sd
2015,mid_season,2015-07-13,descending,66,S1A,VH,4331,0,4331,-28.28343469478968,-23.658513525248143,-19.957027284369516,-16.6466336689798,-16.71403558612174,-13.563754464605617,-10.481731822480802,-1.543195276820171,2.6757503960911775,4331,-26.281010113129845,-21.474367006922456,-17.80897013326636,-14.430716644695202,-14.486325556371185,-11.303772627496722,-8.172132265421425,0.7205777473421191,2.69195259874391,4331,-27.182632282257742,-22.671415129151203,-18.95626377116382,-15.666997104731358,-15.743415224675834,-12.587632478561094,-9.538362090145368,-0.5991579874465254,2.6720448765658755
2015,mid_season,2015-07-13,descending,66,S1A,VV,4331,0,4331,-22.19172895144338,-17.496942030248142,-13.828440040055156,-9.779166657367698,-9.840559164520318,-5.9434457585576865,-1.8501166179322588,9.976239989452987,3.2451871882555254,4331,-19.71164523291143,-15.239289785807369,-11.647133130237,-7.538505305287568,-7.612849134769761,-3.744552503472816,0.29874046801307486,12.26728988516496,3.2263658454326687,4331,-21.357013537073435,-16.580648613347744,-12.899575046451652,-8.822567582846784,-8.86993880307441,-4.929972170060954,-0.9040451420555247,10.905565725004273,3.2602422074907196
2020,establishment,2020-05-13,ascending,15,S1B,VH,4331,0,4331,-31.01983561771477,-26.61483795661956,-22.93010054183035,-17.893287257292823,-18.09138316190286,-13.587870071346897,-10.375110034566418,-0.3470014341971064,3.6189285522208903,4331,-28.906099123668724,-24.26711759325508,-20.646024021510453,-15.453277811395328,-15.666539055661898,-11.103598927117202,-7.862660145898148,1.9460163160510524,3.638334508921581,4331,-30.224184277357978,-25.72872181729348,-22.040361484766656,-17.03129367928341,-17.22481614784993,-12.759224251890696,-9.575744164563869,0.5812729185478885,3.6125997243970653
2020,establishment,2020-05-13,ascending,15,S1B,VV,4331,0,4331,-26.037843050161857,-22.191311436607258,-15.921825733885646,-9.002196793632265,-9.592064593408553,-4.676670309467822,1.555272653907447,14.509430749111033,4.633244667690189,4331,-23.68784367454875,-19.658512404818893,-13.428650075581348,-6.6272320775319855,-7.16722048716759,-2.198121177763846,3.984909853538534,17.07096240452541,4.63938547704628,4331,-25.139362453647532,-21.39303229397951,-15.06177446665928,-8.130610175747236,-8.725497579355618,-3.868796021296816,2.3632136130340218,15.30699561974046,4.632325864252087
2020,establishment,2020-05-17,descending,66,S1B,VH,4331,4331,4331,-29.525469444251726,-26.29326113924009,-22.433079941973325,-17.56911854877142,-17.84223005706965,-13.822165512984146,-10.350599058106146,2.0987260899844844,3.493234221562404,4331,-27.483633825032378,-24.24651046173728,-20.287717506534705,-15.32886028747531,-15.6181745247414,-11.514784885696496,-8.033076839844258,4.477583374653504,3.54438552816198,4331,-28.450292186191678,-25.21369933656159,-21.408607341619394,-16.593819816849315,-16.870020520604164,-12.874546348447478,-9.428836413309806,2.9825661272245183,3.4689325292498174
2020,establishment,2020-05-17,descending,66,S1B,VV,4331,4331,4331,-24.1109697277143,-21.010848658666415,-14.430648487178122,-9.207167476070307,-9.698232238946515,-5.931618030250023,-1.3760266091739586,11.429161479029737,3.787486449637532,4331,-22.125738148664965,-18.95288211856894,-12.272318231170825,-6.951699423558737,-7.474154375088005,-3.6310934743794663,0.9015267756588232,13.68269614858816,3.8276301984091647,4331,-22.998730400431935,-19.932487311523865,-13.43289656584405,-8.226707208367623,-8.726033512222944,-4.976944545488947,-0.49692987208765005,12.378793860103377,3.76925681108437
2020,late_season,2020-08-29,ascending,15,S1B,VH,4331,4331,4331,-28.28079589588647,-22.32551097931589,-18.550955783809254,-15.26616588183549,-15.344056483562866,-12.19210196350512,-9.827628605511508,1.6669266397227176,2.6059641587850497,4331,-25.556277377793446,-20.07312039251985,-16.130443156614675,-12.846602441495206,-12.919852608174422,-9.70844358782837,-7.335278979792347,3.775144069933638,2.642060226561212,4331,-27.55182494177592,-21.39885968003206,-17.689505781980476,-14.405403882916046,-14.477180160668158,-11.38381236764302,-9.013221731479298,2.7006068729643133,2.5926935855294615
2020,late_season,2020-08-29,ascending,15,S1B,VV,4331,4331,4331,-22.697960650174597,-16.850746028031715,-13.164195110023496,-9.641784936140244,-9.675988806714155,-6.2671650699134105,-2.4524447915943437,14.917520653472572,2.9040333964903238,4331,-20.450827275727328,-14.498162401569472,-10.780666208106064,-7.195670642095845,-7.2517849206493095,-3.8006490216025997,-0.0032415737127038727,17.268954434648354,2.9247114246743835,4331,-21.843253615178057,-15.890578745901763,-12.274725276100229,-8.774291019721721,-8.809112489373208,-5.411273339029449,-1.5919881604946533,15.815266868357543,2.8980649616969894
2020,late_season,2020-09-02,descending,66,S1B,VH,4331,4331,4331,-23.972159557014933,-20.994815353221416,-18.237360505637405,-15.679345852470952,-15.76012350123462,-13.4292904530785,-11.05888966607661,3.050983949334196,2.0599946839684433,4331,-21.8051305308712,-18.688272247100034,-16.056135765573664,-13.490393049950875,-13.535040306128181,-11.192106337329772,-8.714339689858901,5.430400725459252,2.074827140422246,4331,-22.973553740621323,-20.052624303204873,-17.265069524453462,-14.712479731336362,-14.788484779253578,-12.48581724228029,-10.0852658158834,3.9345421148220625,2.0582768454960383
2020,late_season,2020-09-02,descending,66,S1B,VV,4331,4331,4331,-20.00723101639685,-15.451060802359686,-12.842390697136208,-10.251257989794782,-10.174789742910471,-7.486306084984145,-4.061655564368346,9.252705919551945,2.332543365361974,4331,-17.779399820842016,-13.16052162762799,-10.634262863868049,-8.034255846028238,-7.949711652197048,-5.179972888594823,-1.7918802352570657,11.632169995492665,2.3620742788585614,4331,-19.04336063357057,-14.48468463910683,-11.855339029456404,-9.278715961502408,-9.203149347635758,-6.5379595099283225,-3.190435190037279,10.136240163153037,2.3222663488384736
