orbit_state,relative_orbit,date,year,scenes_on_date_n,valid_scene_bboxes_n,invalid_scene_bboxes_n,study_bbox_coverage_fraction,study_bbox_coverage_pct,full_coverage_ge_99_5pct,high_coverage_ge_95pct
ascending,15,2021-05-08,2021,2,2,0,1.0,100.0,True,True
ascending,15,2021-05-14,2021,1,1,0,1.0,100.0,True,True
ascending,15,2021-05-20,2021,2,2,0,1.0,100.0,True,True
ascending,15,2021-05-26,2021,1,1,0,1.0,100.0,True,True
ascending,15,2021-06-01,2021,2,2,0,1.0,100.0,True,True
ascending,15,2021-06-07,2021,1,1,0,1.0,100.0,True,True
ascending,15,2021-06-13,2021,2,2,0,1.0,100.0,True,True
ascending,15,2021-06-19,2021,1,1,0,1.0,100.0,True,True
ascending,15,2021-06-25,2021,2,2,0,1.0,100.0,True,True
ascending,15,2021-07-01,2021,1,1,0,1.0,100.0,True,True
ascending,15,2021-07-07,2021,2,2,0,1.0,100.0,True,True
ascending,15,2021-07-13,2021,1,1,0,1.0,100.0,True,True
ascending,15,2021-07-19,2021,2,2,0,1.0,100.0,True,True
ascending,15,2021-07-25,2021,1,1,0,1.0,100.0,True,True
ascending,15,2021-07-31,2021,4,4,0,1.0,100.0,True,True
ascending,15,2021-08-06,2021,1,1,0,1.0,100.0,True,True
ascending,15,2021-08-12,2021,2,2,0,1.0,100.0,True,True
ascending,15,2021-08-18,2021,1,1,0,1.0,100.0,True,True
ascending,15,2021-08-24,2021,2,2,0,1.0,100.0,True,True
ascending,15,2021-08-30,2021,1,1,0,1.0,100.0,True,True
ascending,15,2021-09-05,2021,2,2,0,1.0,100.0,True,True
ascending,15,2021-09-11,2021,1,1,0,1.0,100.0,True,True
ascending,15,2021-09-17,2021,2,2,0,1.0,100.0,True,True
ascending,15,2021-09-23,2021,1,1,0,1.0,100.0,True,True
ascending,15,2021-09-29,2021,2,2,0,1.0,100.0,True,True
ascending,15,2022-04-03,2022,1,1,0,1.0,100.0,True,True
ascending,15,2022-04-15,2022,1,1,0,1.0,100.0,True,True
ascending,15,2022-04-27,2022,1,1,0,1.0,100.0,True,True
ascending,15,2022-05-09,2022,1,1,0,1.0,100.0,True,True
ascending,15,2022-05-21,2022,1,1,0,1.0,100.0,True,True
ascending,15,2022-06-02,2022,1,1,0,1.0,100.0,True,True
ascending,15,2022-06-14,2022,1,1,0,1.0,100.0,True,True
ascending,15,2022-06-26,2022,1,1,0,1.0,100.0,True,True
ascending,15,2022-07-08,2022,1,1,0,1.0,100.0,True,True
ascending,15,2022-07-20,2022,1,1,0,1.0,100.0,True,True
ascending,15,2022-08-01,2022,1,1,0,1.0,100.0,True,True
ascending,15,2022-08-13,2022,1,1,0,1.0,100.0,True,True
ascending,15,2022-08-25,2022,1,1,0,1.0,100.0,True,True
ascending,15,2022-09-06,2022,1,1,0,1.0,100.0,True,True
ascending,15,2022-09-18,2022,1,1,0,1.0,100.0,True,True
ascending,15,2022-09-30,2022,1,1,0,1.0,100.0,True,True
ascending,15,2023-04-10,2023,1,1,0,1.0,100.0,True,True
