"workbook","sheet","row","column","value"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","26","P-PO4 (mg/l) PIEZOMETER 7"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","27","K (mg/l) PIEZOMETER 3"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","28","K (mg/l) PIEZOMETER 4"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","29","K (mg/l) PIEZOMETER 7"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","30","Arsenic (mg/L)
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","31","Arsenic (mg/L)
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","32","Arsenic (mg/L)
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","33","Cadmium (mg/L)
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","34","Cadmium (mg/L)
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","35","Cadmium (mg/L)
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","36","Pesticides content: MCPA (µg/L)  PIEZOMETER P3
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","37","Pesticides content: MCPA (µg/L) PIEZOMETER P4
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","38","Pesticides content: MCPA (µg/L) PIEZOMETER P7
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","39","Pesticides content: Clomazone  (µg/L)  PIEZOMETER P3
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","40","Pesticides content: Clomazone  (µg/L) PIEZOMETER P4
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","41","Pesticides content: Clomazone (µg/L) PIEZOMETER P7
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","3","1","4/29/2019"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","3","2","-1"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","3","11","< LOQ"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","3","14","< LOQ"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","3","17","< LOQ"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","3","20","0.05"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","3","23","10.29"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","3","26","0.06"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","3","29","< LOQ"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","3","38","<LOD"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","3","41","<LOD"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","4","1","4/30/2019"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","4","2","0"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","4","3","214.9"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","4","4","208.3"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","4","5","213.8"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","5","1","5/1/2019"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","5","2","1"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","5","3","214.5"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","5","4","208.5"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","5","5","213.6"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","6","1","5/2/2019"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","6","2","2"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","6","3","214.1"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","6","4","208.2"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","6","5","213.1"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","7","1","5/3/2019"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","7","2","3"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","7","3","213.6"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","7","4","207.7"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","7","5","212.1"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","8","1","5/4/2019"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","8","2","4"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","8","3","213.2"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","8","4","205.9"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","8","5","211.2"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","9","1","5/5/2019"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","9","2","5"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","9","3","212.6"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","9","4","205.1"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","9","5","210.6"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","10","1","5/6/2019"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","10","2","6"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","10","3","212.2"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","10","4","205.2"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","10","5","210.0"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","11","1","5/7/2019"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","11","2","7"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","11","3","211.8"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","11","4","205.5"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","11","5","209.8"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","12","1","5/8/2019"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","12","2","8"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","12","3","211.3"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","12","4","204.4"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","12","5","208.7"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","13","1","5/9/2019"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","13","2","9"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","13","3","210.0"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","13","4","201.4"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","13","5","207.2"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","1","5/10/2019"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","2","10"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","3","199.6"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","4","200.2"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","5","206.4"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","9","1.390"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","10","0.345"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","11","2.95"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","12","0.157"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","13","0.276"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","14","0.15"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","15","< LOQ"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","16","< LOQ"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","17","< LOQ"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","18","0.077"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","19","0.179"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","20","0.10"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","21","9.650"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","22","7.022"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","23","10.47"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","24","0.299"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","25","0.321"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","26","0.22"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","27","10.400"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","28","< LOQ"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","29","5.03"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","36","<LOD"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","37","7.2043E-06"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","38","<LOD"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","39","<LOD"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","40","6.67481E-06"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","14","41","<LOD"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","15","1","5/11/2019"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","15","2","11"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","15","3","191.5"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","15","4","199.2"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","15","5","205.2"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","1","1","GROUNDWATER"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","1","3","NOTE: Groundwater quality sampling was conducted during 7 sampling events: (1) in piezometrs P2, P5, P6 and P7; (2 and 3) in all piezometers from P1 tp P7; (4,5,6,7)in piezometers P2, P5, P6 and P7."
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","1","Date"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","2","Days after sowing"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","3","Depth (cm) PIEZOMETER P1
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","4","Depth (cm) PIEZOMETER P2
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","5","Depth (cm) PIEZOMETER P5
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","6","Salinity (dS/m)
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","7","Salinity (dS/m)
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","8","Salinity (dS/m)
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","9","N-NO3 (mg/l) PIEZOMETER P1
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","10","N-NO3 (mg/l) PIEZOMETER P2
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","11","N-NO3 (mg/l) PIEZOMETER P5
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","12","N-NO2 (mg/l) PIEZOMETER
P1"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","13","N-NO2 (mg/l)
PIEZOMETER P2"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","14","N-NO2 (mg/l)
PIEZOMETER P5"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","15","N-UREA (mg/l) PIEZOMETER 1"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","16","N-UREA (mg/l) PIEZOMETER 2"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","17","N-UREA (mg/l) PIEZOMETER 5"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","18","N-NH3 (mg/l)
PIEZOMETER P1"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","19","N-NH3 (mg/l)
PIEZOMETER P2"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","20","N-NH3 (mg/l) PIEZOMETER
P5"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","21","N-TOT (mg/l) PIEZOMETER
P1"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","22","N-TOT (mg/l) PIEZOMETER
P2"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","23","N-TOT (mg/l) PIEZOMETER
P5"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","24","P-PO4 (mg/l) PIEZOMETER 1"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","25","P-PO4 (mg/l) PIEZOMETER 2"
