candidate,subset,year,n,pearson_r,spearman_rho,rmse,mae,bias,observed_mean_ff,predicted_mean_ff,observed_sd_ff,predicted_sd_ff,mean_composites_valid,min_composites_valid,prediction_below_zero_n,prediction_above_one_n
valid__aggregate_then_index,development,2019,3412,0.890545684449414,0.8709028482196532,0.06249646231433572,0.04643935813897396,-0.0004097763157358484,0.10063801198112465,0.1002282356653888,0.13737801460867002,0.12112333530270011,15.0,15,676,0
valid__aggregate_then_index,validation,2020,3782,0.8530982899555631,0.8476303952941969,0.057533920258876395,0.042863509515947244,0.0012105549974460834,0.06828424831653164,0.06949480331397771,0.10933664564568957,0.10070911831607032,15.0,15,1023,0
valid__aggregate_then_index,validation,2021,3778,0.8436360826848865,0.812413197066585,0.05591665895869175,0.041759659583341435,-0.009820307411680843,0.05941831683707428,0.049598009425393434,0.10160382472984494,0.09313581331733317,15.0,15,1379,0
valid__aggregate_then_index,development,pooled_2017_2019,10392,0.8785249323624887,0.8531802622613762,0.06666293985705216,0.04869839870450416,-6.444250658717229e-17,0.10919580218188851,0.10919580218188843,0.1395575389974095,0.12260477750837469,15.0,15,1895,0
valid__aggregate_then_index,validation,pooled_2020_2021,7560,0.8478335476023314,0.8280780572877166,0.05673148071580595,0.04231187657343603,-0.004301957989548828,0.06385362806132132,0.0595516700717725,0.10562921662611179,0.09750092593736188,15.0,15,2402,0
valid__aggregate_then_index,development_balanced,pooled_2017_2019,9186,0.8842411113053531,0.8713124335494598,0.06684751634363334,0.04892922595039081,-0.0010400356384256326,0.12024000854061342,0.11919997290218777,0.14302187059165322,0.12394733382589199,15.0,15,1455,0
valid__aggregate_then_index,validation_balanced,pooled_2020_2021,6124,0.8617245137894556,0.8647093039727373,0.05710243130550411,0.042231792562418186,-0.0038685608183181394,0.07678334746987774,0.0729147866515596,0.11215727591724997,0.09947066643994129,15.0,15,1621,0
valid__index_then_aggregate,development,2017,3635,0.877451200842097,0.860510714609005,0.058389073778410176,0.0419840378873821,-0.008804260598849745,0.09325158196437212,0.0844473213655224,0.12027159398323532,0.10766046120275838,15.0,15,863,0
valid__index_then_aggregate,development,2018,3345,0.878090417335896,0.8648888058411962,0.0756727675096169,0.05606147736602734,0.008825393723116363,0.13525153331960993,0.14407692704272632,0.15658572017126604,0.13146755969224125,15.0,15,407,0
valid__index_then_aggregate,development,2019,3412,0.8947677890161564,0.8794221246287598,0.061338981891535284,0.04563438396458089,0.0007275924012289864,0.10063801198112465,0.10136560438235365,0.13737801460867002,0.12295855351806077,15.0,15,690,0
valid__index_then_aggregate,validation,2020,3782,0.8591582376615987,0.8549425641559264,0.056514878977360204,0.042223960808084014,0.0004414053439070878,0.06828424831653164,0.06872565366043873,0.10933664564568957,0.10195804178775279,15.0,15,1064,0
valid__index_then_aggregate,validation,2021,3778,0.8509995380942681,0.8237701331296505,0.05489235192361747,0.041163563742219814,-0.009820451573254741,0.05941831683707428,0.04959786526381954,0.10160382472984494,0.09485093173501198,15.0,15,1421,0
valid__index_then_aggregate,development,pooled_2017_2019,10392,0.8835626886268207,0.8614694467177945,0.06535345160720366,0.047713831562465885,-1.23415092190818e-16,0.10919580218188851,0.10919580218188837,0.1395575389974095,0.12330783437469374,15.0,15,1960,0
valid__index_then_aggregate,validation,pooled_2020_2021,7560,0.8546777717865617,0.8375321018034907,0.05570995192244786,0.04169404280347622,-0.004686808337711613,0.06385362806132132,0.05916681972360972,0.10562921662611179,0.09892743948648997,15.0,15,2485,0
valid__index_then_aggregate,development_balanced,pooled_2017_2019,9186,0.8891839780647057,0.8795259041386253,0.06549262748709858,0.04792502594276694,-0.0008132707486874543,0.12024000854061342,0.11942673779192596,0.14302187059165322,0.12457581091876561,15.0,15,1506,0
valid__index_then_aggregate,validation_balanced,pooled_2020_2021,6124,0.8678600547678348,0.8741443929767472,0.05596123636787629,0.04151367469181876,-0.003832397388406601,0.07678334746987774,0.07295095008147114,0.11215727591724997,0.10089823484361105,15.0,15,1677,0
