year,station_i,station_j,distance_km,distance_band,residual_i,residual_j,residual_product,absolute_residual_difference
2022,PO018047NR0001,PO0181100U0111,23.017144088700494,20-40 km,0.16310015917978404,0.7024011339629244,0.11456173675741378,0.5393009747831403
2022,PO018047NR0001,PO0181140U0002,35.816628051786225,20-40 km,0.16310015917978404,0.3682290833703332,0.060058222112327316,0.20512892419054918
2022,PO018047NR0001,PO018162NUP001,18.288736099726933,10-20 km,0.16310015917978404,-0.5526368352663771,-0.0901351558005582,0.7157369944461611
2022,PO018047NR0001,PO018173NUP001,27.6704044771794,20-40 km,0.16310015917978404,-0.3664387146053303,-0.059766212681764824,0.5295388737851143
2022,PO018047NR0001,PO018176NUP001,34.325341769770084,20-40 km,0.16310015917978404,-0.5344061258191934,-0.08716172418776215,0.6975062849989775
2022,PO018047NR0001,PO018180NUP001,34.828391337401705,20-40 km,0.16310015917978404,0.26155368636720144,0.042659447880549865,0.0984535271874174
2022,PO0180480U0004,PO018048NRP001,17.649151199780587,10-20 km,0.3206877645447648,0.04588896105838325,0.014716028339094687,0.2747988034863815
2022,PO0180480U0004,PO018072NUP001,29.081022331738435,20-40 km,0.3206877645447648,-0.2881769521061188,-0.09241482256423499,0.6088647166508836
2022,PO0180480U0004,PO0180810U0111,18.513001323394324,10-20 km,0.3206877645447648,0.11486434565269166,0.03683559023325886,0.20582341889207312
2022,PO0180480U0004,PO0181100U0111,29.191167996501953,20-40 km,0.3206877645447648,0.7024011339629244,0.22525144946427808,0.3817133694181596
2022,PO0180480U0004,PO0181140U0002,7.222609639181671,5-10 km,0.3206877645447648,0.3682290833703332,0.11808656158639998,0.047541318825568446
2022,PO0180480U0004,PO018162NUP001,26.813177331969985,20-40 km,0.3206877645447648,-0.5526368352663771,-0.1772238713066679,0.8733245998111419
2022,PO0180480U0004,PO018173NUP001,34.42447336308871,20-40 km,0.3206877645447648,-0.3664387146053303,-0.11751241222944042,0.6871264791500951
2022,PO0180480U0004,PO018176NUP001,26.493322968716498,20-40 km,0.3206877645447648,-0.5344061258191934,-0.17137750584798545,0.8550938903639582
2022,PO0180480U0004,PO018180NUP001,13.24217487307862,10-20 km,0.3206877645447648,0.26155368636720144,0.08387706698954035,0.05913407817756333
2022,PO018048NRP001,PO018072NUP001,12.236486844165123,10-20 km,0.04588896105838325,-0.2881769521061188,-0.013224140933121261,0.33406591316450207
2022,PO018048NRP001,PO0180810U0111,3.3737707892056568,0-5 km,0.04588896105838325,0.11486434565269166,0.00527100548465304,0.06897538459430841
2022,PO018048NRP001,PO0181100U0111,11.572460318853526,10-20 km,0.04588896105838325,0.7024011339629244,0.03223245828378887,0.6565121729045411
2022,PO018048NRP001,PO0181140U0002,15.07341733353042,10-20 km,0.04588896105838325,0.3682290833703332,0.01689765006734538,0.32234012231195
2022,PO018048NRP001,PO018162NUP001,10.2548720715644,10-20 km,0.04588896105838325,-0.5526368352663771,-0.025359930212966935,0.5985257963247603
2022,PO018048NRP001,PO018173NUP001,17.475870873216845,10-20 km,0.04588896105838325,-0.3664387146053303,-0.016815491904808015,0.41232767566371353
2022,PO018048NRP001,PO018176NUP001,12.895179046618065,10-20 km,0.04588896105838325,-0.5344061258191934,-0.024523341897078426,0.5802950868775767
2022,PO018048NRP001,PO018180NUP001,6.814993854400686,5-10 km,0.04588896105838325,0.26155368636720144,0.012002426928381093,0.2156647253088182
2022,PO018072NUP001,PO0180810U0111,13.636526101675225,10-20 km,-0.2881769521061188,0.11486434565269166,-0.0331012570358564,0.4030412977588105
2022,PO018072NUP001,PO0181100U0111,4.540906509945895,0-5 km,-0.2881769521061188,0.7024011339629244,-0.20241581794131722,0.9905780860690432
2022,PO018072NUP001,PO0181140U0002,27.29916255533254,20-40 km,-0.2881769521061188,0.3682290833703332,-0.10611513492249255,0.656406035476452
2022,PO018072NUP001,PO018162NUP001,11.455887527539945,10-20 km,-0.2881769521061188,-0.5526368352663771,0.1592571988086358,0.26445988316025826
2022,PO018072NUP001,PO018173NUP001,5.346974488520634,5-10 km,-0.2881769521061188,-0.3664387146053303,0.10559919190864801,0.07826176249921146
2022,PO018072NUP001,PO018176NUP001,7.248482862071551,5-10 km,-0.2881769521061188,-0.5344061258191934,0.1540035285254142,0.24622917371307462
2022,PO018072NUP001,PO018180NUP001,16.105172928161235,10-20 km,-0.2881769521061188,0.26155368636720144,-0.07537374414941983,0.5497306384733203
2022,PO0180810U0111,PO0181100U0111,11.811751140283985,10-20 km,0.11486434565269166,0.7024011339629244,0.08068084663835992,0.5875367883102327
2022,PO0180810U0111,PO0181140U0002,14.611867094933489,10-20 km,0.11486434565269166,0.3682290833703332,0.04229639271162377,0.25336473771764156
2022,PO0180810U0111,PO018162NUP001,8.329417985493851,5-10 km,0.11486434565269166,-0.5526368352663771,-0.06347826846644676,0.6675011809190687
2022,PO0180810U0111,PO018173NUP001,18.546412241139294,10-20 km,0.11486434565269166,-0.3664387146053303,-0.04209074317495469,0.48130306025802194
2022,PO0180810U0111,PO018176NUP001,15.658775872031653,10-20 km,0.11486434565269166,-0.5344061258191934,-0.06138420995501166,0.6492704714718851
2022,PO0180810U0111,PO018180NUP001,9.652316154229267,5-10 km,0.11486434565269166,0.26155368636720144,0.030043193037617932,0.14668934071450979
2022,PO0181100U0111,PO0181140U0002,26.304388702267914,20-40 km,0.7024011339629244,0.3682290833703332,0.2586445257174503,0.33417205059259114
2022,PO0181100U0111,PO018162NUP001,7.342039032426479,5-10 km,0.7024011339629244,-0.5526368352663771,-0.3881727397607851,1.2550379692293014
2022,PO0181100U0111,PO018173NUP001,7.330347667035174,5-10 km,0.7024011339629244,-0.3664387146053303,-0.2573869686667004,1.0688398485682546
2022,PO0181100U0111,PO018176NUP001,11.387767871401273,10-20 km,0.7024011339629244,-0.5344061258191934,-0.3753674687721347,1.2368072597821178
2022,PO0181100U0111,PO018180NUP001,17.029097134821754,10-20 km,0.7024011339629244,0.26155368636720144,0.18371560589650537,0.4408474475957229
2022,PO0181140U0002,PO018162NUP001,22.352150660512827,20-40 km,0.3682290833703332,-0.5526368352663771,-0.20349695528681988,0.9208659186367103
2022,PO0181140U0002,PO018173NUP001,32.5481736792919,20-40 km,0.3682290833703332,-0.3664387146053303,-0.1349333919905239,0.7346677979756635
2022,PO0181140U0002,PO018176NUP001,26.56081766315416,20-40 km,0.3682290833703332,-0.5344061258191934,-0.19678387785789256,0.9026352091895267
2022,PO0181140U0002,PO018180NUP001,13.608988526455438,10-20 km,0.3682290833703332,0.26155368636720144,0.09631167418312621,0.10667539700313178
2022,PO018162NUP001,PO018173NUP001,14.549488192261157,10-20 km,-0.5526368352663771,-0.3664387146053303,0.20250753155856888,0.1861981206610468
2022,PO018162NUP001,PO018176NUP001,17.009624480102325,10-20 km,-0.5526368352663771,-0.5344061258191934,0.29533251011968437,0.018230709447183635
2022,PO018162NUP001,PO018180NUP001,17.037087955140088,10-20 km,-0.5526368352663771,0.26155368636720144,-0.14454420148622477,0.8141905216335785
2022,PO018173NUP001,PO018176NUP001,10.7002556779585,10-20 km,-0.3664387146053303,-0.5344061258191934,0.19582709382239966,0.16796741121386316
2022,PO018173NUP001,PO018180NUP001,21.399731742247514,20-40 km,-0.3664387146053303,0.26155368636720144,-0.095843396632683,0.6279924009725317
2022,PO018176NUP001,PO018180NUP001,13.371921520630162,10-20 km,-0.5344061258191934,0.26155368636720144,-0.13977589222522452,0.7959598121863949
2023,PO018043NUP001,PO018047NR0001,30.93509827154443,20-40 km,-0.2894044280608745,0.2576955878692182,-0.07457824422110193,0.5471000159300927
2023,PO018043NUP001,PO0180480U0004,23.893556144898685,20-40 km,-0.2894044280608745,-0.34686712213667104,0.10038488109508478,0.05746269407579652
2023,PO018043NUP001,PO018048NRP001,8.721982267372876,5-10 km,-0.2894044280608745,-0.18558922672615807,0.05371034401494375,0.10381520133471644
2023,PO018043NUP001,PO018072NUP001,5.875415302655979,5-10 km,-0.2894044280608745,-0.004669259010778415,0.0013513042334824118,0.2847351690500961
2023,PO018043NUP001,PO0180810U0111,11.323829965859765,10-20 km,-0.2894044280608745,0.13321631410327006,-0.03855339119143469,0.4226207421641446
2023,PO018043NUP001,PO0181100U0111,8.67118444049256,5-10 km,-0.2894044280608745,-0.027060964179919544,0.007831562861265427,0.262343463880955
2023,PO018043NUP001,PO0181140U0002,23.064263854343235,20-40 km,-0.2894044280608745,0.12816470586326556,-0.037091433397948584,0.4175691339241401
2023,PO018043NUP001,PO018162NUP001,13.089212894614445,10-20 km,-0.2894044280608745,0.48582679424732955,-0.14060042552579657,0.7752312223082041
2023,PO018043NUP001,PO018173NUP001,10.90346295966818,10-20 km,-0.2894044280608745,-0.26508318022031974,0.07671624616021935,0.024321247840554783
2023,PO018043NUP001,PO018176NUP001,4.372289574229461,0-5 km,-0.2894044280608745,0.21229036623716802,-0.061437772023701195,0.5016947942980425
2023,PO018043NUP001,PO018180NUP001,10.680178894710053,10-20 km,-0.2894044280608745,-0.0985195879855798,0.02851200501375973,0.19088484007529471
2023,PO018047NR0001,PO0180480U0004,42.02576025487225,40+ km,0.2576955878692182,-0.34686712213667104,-0.08938612695151335,0.6045627100058892
2023,PO018047NR0001,PO018048NRP001,28.054092682938343,20-40 km,0.2576955878692182,-0.18558922672615807,-0.047825524883390924,0.4432848145953763
2023,PO018047NR0001,PO018072NUP001,27.491266386404828,20-40 km,0.2576955878692182,-0.004669259010778415,-0.0012032474456961878,0.2623648468799966
2023,PO018047NR0001,PO0180810U0111,25.284151735820604,20-40 km,0.2576955878692182,0.13321631410327006,0.034329256376612605,0.12447927376594814
2023,PO018047NR0001,PO0181100U0111,23.017144088700494,20-40 km,0.2576955878692182,-0.027060964179919544,-0.006973491072652223,0.28475655204913775
2023,PO018047NR0001,PO0181140U0002,35.816628051786225,20-40 km,0.2576955878692182,0.12816470586326556,0.033027479221519655,0.12953088200595264
2023,PO018047NR0001,PO018162NUP001,18.288736099726933,10-20 km,0.2576955878692182,0.48582679424732955,0.1251954213461833,0.22813120637811135
2023,PO018047NR0001,PO018173NUP001,27.6704044771794,20-40 km,0.2576955878692182,-0.26508318022031974,-0.06831076596111721,0.5227787680895379
2023,PO018047NR0001,PO018176NUP001,34.325341769770084,20-40 km,0.2576955878692182,0.21229036623716802,0.05470629072645864,0.045405221632050186
2023,PO018047NR0001,PO018180NUP001,34.828391337401705,20-40 km,0.2576955878692182,-0.0985195879855798,-0.025388063142577154,0.356215175854798
2023,PO0180480U0004,PO018048NRP001,17.649151199780587,10-20 km,-0.34686712213667104,-0.18558922672615807,0.06437480097407261,0.16127789541051296
2023,PO0180480U0004,PO018072NUP001,29.081022331738435,20-40 km,-0.34686712213667104,-0.004669259010778415,0.0016196124355794283,0.3421978631258926
2023,PO0180480U0004,PO0180810U0111,18.513001323394324,10-20 km,-0.34686712213667104,0.13321631410327006,-0.046208359494656105,0.4800834362399411
2023,PO0180480U0004,PO0181100U0111,29.191167996501953,20-40 km,-0.34686712213667104,-0.027060964179919544,0.009386558767332232,0.3198061579567515
2023,PO0180480U0004,PO0181140U0002,7.222609639181671,5-10 km,-0.34686712213667104,0.12816470586326556,-0.044456122682283855,0.4750318279999366
2023,PO0180480U0004,PO018162NUP001,26.813177331969985,20-40 km,-0.34686712213667104,0.48582679424732955,-0.1685173419774558,0.8326939163840006
2023,PO0180480U0004,PO018173NUP001,34.42447336308871,20-40 km,-0.34686712213667104,-0.26508318022031974,0.09194863984985882,0.0817839419163513
2023,PO0180480U0004,PO018176NUP001,26.493322968716498,20-40 km,-0.34686712213667104,0.21229036623716802,-0.07363654839402638,0.559157488373839
2023,PO0180480U0004,PO018180NUP001,13.24217487307862,10-20 km,-0.34686712213667104,-0.0985195879855798,0.03417320595864862,0.24834753415109123
2023,PO018048NRP001,PO018072NUP001,12.236486844165123,10-20 km,-0.18558922672615807,-0.004669259010778415,0.0008665641691945118,0.18091996771537966
2023,PO018048NRP001,PO0180810U0111,3.3737707892056568,0-5 km,-0.18558922672615807,0.13321631410327006,-0.024723512721734876,0.31880554082942814
2023,PO018048NRP001,PO0181100U0111,11.572460318853526,10-20 km,-0.18558922672615807,-0.027060964179919544,0.00502222341661553,0.15852826254623853
2023,PO018048NRP001,PO0181140U0002,15.07341733353042,10-20 km,-0.18558922672615807,0.12816470586326556,-0.023785988654748954,0.31375393258942363
2023,PO018048NRP001,PO018162NUP001,10.2548720715644,10-20 km,-0.18558922672615807,0.48582679424732955,-0.0901642190672102,0.6714160209734876
2023,PO018048NRP001,PO018173NUP001,17.475870873216845,10-20 km,-0.18558922672615807,-0.26508318022031974,0.04919658243519994,0.07949395349416166
2023,PO018048NRP001,PO018176NUP001,12.895179046618065,10-20 km,-0.18558922672615807,0.21229036623716802,-0.039398804911368907,0.3978795929633261
2023,PO018048NRP001,PO018180NUP001,6.814993854400686,5-10 km,-0.18558922672615807,-0.0985195879855798,0.01828417415162345,0.08706963874057827
2023,PO018072NUP001,PO0180810U0111,13.636526101675225,10-20 km,-0.004669259010778415,0.13321631410327006,-0.0006220214750093814,0.13788557311404848
2023,PO018072NUP001,PO0181100U0111,4.540906509945895,0-5 km,-0.004669259010778415,-0.027060964179919544,0.00012635465083744125,0.02239170516914113
2023,PO018072NUP001,PO0181140U0002,27.29916255533254,20-40 km,-0.004669259010778415,0.12816470586326556,-0.0005984342077158179,0.13283396487404397
2023,PO018072NUP001,PO018162NUP001,11.455887527539945,10-20 km,-0.004669259010778415,0.48582679424732955,-0.0022684511367169345,0.49049605325810797
2023,PO018072NUP001,PO018173NUP001,5.346974488520634,5-10 km,-0.004669259010778415,-0.26508318022031974,0.0012377420278495263,0.2604139212095413
2023,PO018072NUP001,PO018176NUP001,7.248482862071551,5-10 km,-0.004669259010778415,0.21229036623716802,-0.0009912387054543466,0.21695962524794643
2023,PO018072NUP001,PO018180NUP001,16.105172928161235,10-20 km,-0.004669259010778415,-0.0985195879855798,0.0004600134739398454,0.09385032897480139
2023,PO0180810U0111,PO0181100U0111,11.811751140283985,10-20 km,0.13321631410327006,-0.027060964179919544,-0.003604961904129502,0.1602772782831896
2023,PO0180810U0111,PO0181140U0002,14.611867094933489,10-20 km,0.13321631410327006,0.12816470586326556,0.017073629713234003,0.0050516082400045015
2023,PO0180810U0111,PO018162NUP001,8.329417985493851,5-10 km,0.13321631410327006,0.48582679424732955,0.06472005482223701,0.3526104801440595
2023,PO0180810U0111,PO018173NUP001,18.546412241139294,10-20 km,0.13321631410327006,-0.26508318022031974,-0.03531340419972386,0.3982994943235898
2023,PO0180810U0111,PO018176NUP001,15.658775872031653,10-20 km,0.13321631410327006,0.21229036623716802,0.02828054010974881,0.07907405213389795
2023,PO0180810U0111,PO018180NUP001,9.652316154229267,5-10 km,0.13321631410327006,-0.0985195879855798,-0.01312441637841175,0.23173590208884987
2023,PO0181100U0111,PO0181140U0002,26.304388702267914,20-40 km,-0.027060964179919544,0.12816470586326556,-0.0034682605144957536,0.1552256700431851
2023,PO0181100U0111,PO018162NUP001,7.342039032426479,5-10 km,-0.027060964179919544,0.48582679424732955,-0.013146941476772128,0.5128877584272491
2023,PO0181100U0111,PO018173NUP001,7.330347667035174,5-10 km,-0.027060964179919544,-0.26508318022031974,0.0071734064446412294,0.2380222160404002
2023,PO0181100U0111,PO018176NUP001,11.387767871401273,10-20 km,-0.027060964179919544,0.21229036623716802,-0.005744781996486005,0.23935133041708756
2023,PO0181100U0111,PO018180NUP001,17.029097134821754,10-20 km,-0.027060964179919544,-0.0985195879855798,0.002666035041498207,0.07145862380566026
2023,PO0181140U0002,PO018162NUP001,22.352150660512827,20-40 km,0.12816470586326556,0.48582679424732955,0.06226584818520223,0.357662088384064
2023,PO0181140U0002,PO018173NUP001,32.5481736792919,20-40 km,0.12816470586326556,-0.26508318022031974,-0.033974307822236295,0.3932478860835853
2023,PO0181140U0002,PO018176NUP001,26.56081766315416,20-40 km,0.12816470586326556,0.21229036623716802,0.02720813234639156,0.08412566037390246
2023,PO0181140U0002,PO018180NUP001,13.608988526455438,10-20 km,0.12816470586326556,-0.0985195879855798,-0.012626734015941948,0.22668429384884536
2023,PO018162NUP001,PO018173NUP001,14.549488192261157,10-20 km,0.48582679424732955,-0.26508318022031974,-0.12878451165532506,0.7509099744676493
2023,PO018162NUP001,PO018176NUP001,17.009624480102325,10-20 km,0.48582679424732955,0.21229036623716802,0.10313634807859486,0.27353642801016154
2023,PO018162NUP001,PO018180NUP001,17.037087955140088,10-20 km,0.48582679424732955,-0.0985195879855798,-0.04786345560160196,0.5843463822329094
2023,PO018173NUP001,PO018176NUP001,10.7002556779585,10-20 km,-0.26508318022031974,0.21229036623716802,-0.05627460541228489,0.47737354645748775
2023,PO018173NUP001,PO018180NUP001,21.399731742247514,20-40 km,-0.26508318022031974,-0.0985195879855798,0.026115885697213098,0.16656359223473993
2023,PO018176NUP001,PO018180NUP001,13.371921520630162,10-20 km,0.21229036623716802,-0.0985195879855798,-0.020914759414993635,0.3108099542227478
2024,PO018043NUP001,PO018047NR0001,30.93509827154443,20-40 km,0.42179203528093123,-0.05919081011996585,-0.02496621227042754,0.4809828454008971
2024,PO018043NUP001,PO0180480U0004,23.893556144898685,20-40 km,0.42179203528093123,0.0031422963288587624,0.0013253955640051358,0.41864973895207247
2024,PO018043NUP001,PO018048NRP001,8.721982267372876,5-10 km,0.42179203528093123,0.07590634712648159,0.03201669264521954,0.34588568815444964
2024,PO018043NUP001,PO018072NUP001,5.875415302655979,5-10 km,0.42179203528093123,0.10242911524790443,0.043203784992438675,0.3193629200330268
2024,PO018043NUP001,PO0180810U0111,11.323829965859765,10-20 km,0.42179203528093123,0.059417888361811944,0.025061992064223815,0.3623741469191193
2024,PO018043NUP001,PO0181100U0111,8.67118444049256,5-10 km,0.42179203528093123,-0.6117948739247021,-0.2580502050471408,1.0335869092056333
2024,PO018043NUP001,PO0181140U0002,23.064263854343235,20-40 km,0.42179203528093123,-0.47912835347548155,-0.2020925233732248,0.9009203887564128
2024,PO018043NUP001,PO018162NUP001,13.089212894614445,10-20 km,0.42179203528093123,-0.42507602454838,-0.1792936815433883,0.8468680598293112
2024,PO018043NUP001,PO018173NUP001,10.90346295966818,10-20 km,0.42179203528093123,0.8015497078663355,0.3380872826597775,0.37975767258540427
2024,PO018043NUP001,PO018176NUP001,4.372289574229461,0-5 km,0.42179203528093123,0.17029145242862098,0.07182757831081392,0.25150058285231025
2024,PO018043NUP001,PO018180NUP001,10.680178894710053,10-20 km,0.42179203528093123,-0.05933878057246744,-0.025028625028749623,0.4811308158533987
2024,PO018047NR0001,PO0180480U0004,42.02576025487225,40+ km,-0.05919081011996585,0.0031422963288587624,-0.00018599506534214478,0.062333106448824616
2024,PO018047NR0001,PO018048NRP001,28.054092682938343,20-40 km,-0.05919081011996585,0.07590634712648159,-0.004492958179663787,0.13509715724644744
2024,PO018047NR0001,PO018072NUP001,27.491266386404828,20-40 km,-0.05919081011996585,0.10242911524790443,-0.006062862311394811,0.1616199253678703
2024,PO018047NR0001,PO0180810U0111,25.284151735820604,20-40 km,-0.05919081011996585,0.059417888361811944,-0.00351699294775334,0.1186086984817778
2024,PO018047NR0001,PO0181100U0111,23.017144088700494,20-40 km,-0.05919081011996585,-0.6117948739247021,0.03621263421484549,0.5526040638047363
2024,PO018047NR0001,PO0181140U0002,35.816628051786225,20-40 km,-0.05919081011996585,-0.47912835347548155,0.02835999539365911,0.4199375433555157
2024,PO018047NR0001,PO018162NUP001,18.288736099726933,10-20 km,-0.05919081011996585,-0.42507602454838,0.025160594255593104,0.36588521442841415
2024,PO018047NR0001,PO018173NUP001,27.6704044771794,20-40 km,-0.05919081011996585,0.8015497078663355,-0.047444376560030366,0.8607405179863014
2024,PO018047NR0001,PO018176NUP001,34.325341769770084,20-40 km,-0.05919081011996585,0.17029145242862098,-0.010079689025755702,0.22948226254858684
2024,PO018047NR0001,PO018180NUP001,34.828391337401705,20-40 km,-0.05919081011996585,-0.05933878057246744,0.0035123104936152392,0.00014797045250158902
2024,PO0180480U0004,PO018048NRP001,17.649151199780587,10-20 km,0.0031422963288587624,0.07590634712648159,0.00023852023591262197,0.07276405079762283
2024,PO0180480U0004,PO018072NUP001,29.081022331738435,20-40 km,0.0031422963288587624,0.10242911524790443,0.0003218626328117412,0.09928681891904567
2024,PO0180480U0004,PO0180810U0111,18.513001323394324,10-20 km,0.0031422963288587624,0.059417888361811944,0.00018670861246786145,0.05627559203295318
2024,PO0180480U0004,PO0181100U0111,29.191167996501953,20-40 km,0.0031422963288587624,-0.6117948739247021,-0.0019224407863482008,0.6149371702535609
2024,PO0180480U0004,PO0181140U0002,7.222609639181671,5-10 km,0.0031422963288587624,-0.47912835347548155,-0.001505563266178149,0.4822706498043403
2024,PO0180480U0004,PO018162NUP001,26.813177331969985,20-40 km,0.0031422963288587624,-0.42507602454838,-0.0013357148314242517,0.42821832087723877
2024,PO0180480U0004,PO018173NUP001,34.42447336308871,20-40 km,0.0031422963288587624,0.8015497078663355,0.0025187067044261996,0.7984074115374767
2024,PO0180480U0004,PO018176NUP001,26.493322968716498,20-40 km,0.0031422963288587624,0.17029145242862098,0.0005351062058024823,0.16714915609976222
2024,PO0180480U0004,PO018180NUP001,13.24217487307862,10-20 km,0.0031422963288587624,-0.05933878057246744,-0.0001864600323518201,0.062481076901326205
2024,PO018048NRP001,PO018072NUP001,12.236486844165123,10-20 km,0.07590634712648159,0.10242911524790443,0.007775019977865822,0.026522768121422846
2024,PO018048NRP001,PO0180810U0111,3.3737707892056568,0-5 km,0.07590634712648159,0.059417888361811944,0.0045101948595142275,0.016488458764669645
2024,PO018048NRP001,PO0181100U0111,11.572460318853526,10-20 km,0.07590634712648159,-0.6117948739247021,-0.046439114070330474,0.6877012210511837
2024,PO018048NRP001,PO0181140U0002,15.07341733353042,10-20 km,0.07590634712648159,-0.47912835347548155,-0.03636888311704947,0.5550347006019631
2024,PO018048NRP001,PO018162NUP001,10.2548720715644,10-20 km,0.07590634712648159,-0.42507602454838,-0.03226596827451414,0.5009823716748616
2024,PO018048NRP001,PO018173NUP001,17.475870873216845,10-20 km,0.07590634712648159,0.8015497078663355,0.06084271036443197,0.7256433607398539
2024,PO018048NRP001,PO018176NUP001,12.895179046618065,10-20 km,0.07590634712648159,0.17029145242862098,0.01292620210071963,0.0943851053021394
2024,PO018048NRP001,PO018180NUP001,6.814993854400686,5-10 km,0.07590634712648159,-0.05933878057246744,-0.004504190076195835,0.13524512769894903
2024,PO018072NUP001,PO0180810U0111,13.636526101675225,10-20 km,0.10242911524790443,0.059417888361811944,0.0060861217347991554,0.04301122688609249
2024,PO018072NUP001,PO0181100U0111,4.540906509945895,0-5 km,0.10242911524790443,-0.6117948739247021,-0.06266560764931048,0.7142239891726065
2024,PO018072NUP001,PO0181140U0002,27.29916255533254,20-40 km,0.10242911524790443,-0.47912835347548155,-0.049076693336678794,0.581557468723386
2024,PO018072NUP001,PO018162NUP001,11.455887527539945,10-20 km,0.10242911524790443,-0.42507602454838,-0.04354016110758707,0.5275051397962844
2024,PO018072NUP001,PO018173NUP001,5.346974488520634,5-10 km,0.10242911524790443,0.8015497078663355,0.08210202740396501,0.6991205926184311
