station,year,commune,pre,aprmay,jja,m5,m6,m7,m8,ff_2,ffw_2,ffb_2,n_2,nbal_2,ff_5,ffw_5,ffb_5,n_5,nbal_5,ff_10,ffw_10,ffb_10,n_10,nbal_10
PO0180470U0001,2017,CERVESINA,8.28,8.31,8.6,8.3,8.46,8.6,8.61,0.00929176900535822,0.00929176900535822,,1,0,0.132764309439032,0.13333385931422967,0.1758949605530747,12,5,0.0659035149408301,0.07788202045258001,0.09248554213817102,89,34
PO0180470U0001,2018,CERVESINA,8.85,8.440000000000001,8.6,8.38,8.42,8.6,8.68,0.0277038076892495,0.0277038076892495,,1,0,0.11358627686729761,0.1313733878681281,0.11889614723622806,12,5,0.052088659047101186,0.06408309582718238,0.06079710164454345,81,34
PO0180470U0001,2019,CERVESINA,8.64,,8.83,,8.49,8.83,8.95,,,,0,0,0.1027220409549773,0.10258889852210565,0.10651922846212973,10,5,0.04920819464965886,0.06313695972333742,0.062448152047870145,83,34
PO0180470U0001,2020,CERVESINA,7.56,,8.0,,7.9,8.0,8.12,0.0,0.0,,1,0,0.06673978328860061,0.08022871002575148,0.0846465736394749,12,5,0.022974864553826302,0.02768483148996216,0.026135034075659702,103,34
PO0180470U0001,2021,CERVESINA,7.215,,8.21,,7.91,8.21,8.23,,,,0,0,0.03799310020721433,0.04174538235198342,0.034149054299729587,11,5,0.01492339834704087,0.01728560063466889,0.020476059685839293,102,34
PO0180930U0006,2008,MIRADOLO TERME,,,,,,,,0.0859054632484913,0.0859054632484913,,1,0,0.06416364225137625,0.08794017137322378,0.12620763181863964,14,4,0.044254689847479586,0.061761679475903435,0.056707391617237576,59,18
PO0180930U0006,2009,MIRADOLO TERME,,,,,,,,0.00703927921131253,0.00703927921131253,,2,0,0.024539267373620516,0.032596782632430786,0.0639775953255594,24,4,0.022194386182166893,0.02850836724964704,0.040850962912426673,92,18
PO0180930U0006,2010,MIRADOLO TERME,,,,,,,,0.00707593839615585,0.00707593839615585,,2,0,0.018921585308777637,0.027263703705102702,0.06298087292816493,23,4,0.028939731274526665,0.03753974236545752,0.043494047218700906,90,18
PO0180930U0006,2011,MIRADOLO TERME,,,,,,,,0.00765523966401815,0.009186287596821779,,2,0,0.01057907957879449,0.015202335585538247,0.02663325139974404,23,4,0.01751797770913787,0.020926930908943778,0.025164267637046583,112,18
PO0180930U0006,2012,MIRADOLO TERME,,,,,,,,0.002038394287228585,0.0025479928590357312,,2,0,0.0012476798163709372,0.001472989322005683,0.0009058994706720104,21,4,0.01401633027749388,0.013319503811541376,0.004641349099930032,90,18
PO0180930U0006,2013,MIRADOLO TERME,,,9.5,,,,9.5,0.0497509676963091,0.04078578895756178,,2,0,0.0391217681753915,0.0394563193083741,0.03817688329145315,19,4,0.054017256099256665,0.05928856677529703,0.07536664832754197,83,18
PO0180930U0006,2014,MIRADOLO TERME,,,,,,,,0.0178792288643308,0.028606766182929278,,2,0,0.00819284585646043,0.011649064033280133,0.013969702708224452,25,4,0.020809252931598392,0.024075434861781483,0.019973310803201187,110,18
PO0180930U0006,2015,MIRADOLO TERME,,,,,,,,0.0,0.0,,1,0,0.017047355694442316,0.007032298648386804,0.0,22,4,0.013841768374356132,0.014048427821487542,0.008070502226689346,90,18
PO0180930U0006,2016,MIRADOLO TERME,,,,,,,,0.0,0.0,,1,0,0.0016539912700836517,0.001769884425590224,0.005252545389036338,22,4,0.010542604634828263,0.014430896824959552,0.01174174605058161,91,18
PO0180930U0006,2017,MIRADOLO TERME,,,,,,,,0.00179209207029392,0.0017920920702939197,,1,0,0.0019382961615532007,0.0028185787665493335,0.00141343961392219,25,4,0.007843000044390964,0.010672000205713187,0.009858370746197007,96,18
