station,year,commune,pre,aprmay,jja,m5,m6,m7,m8,ff_2,ffw_2,ffb_2,n_2,nbal_2,ff_5,ffw_5,ffb_5,n_5,nbal_5,ff_10,ffw_10,ffb_10,n_10,nbal_10,CODICE,gw_x,gw_y,gwb,commune2,d_may_aug,regime,P_mayaug,P_mayaug_n,P_mayaug_dmax,P_apraug,P_apraug_n,P_apraug_dmax,P_jja,P_jja_n,P_jja_dmax,T_mayaug,T_mayaug_n,T_mayaug_dmax,T_apraug,T_apraug_n,T_apraug_dmax,T_jja,T_jja_n,T_jja_dmax,d_spring_summer,P_aprmay,T_aprmay,event_year,event_time
PO018065NRG001,2019,FRASCAROLO,4.0,4.21,1.77,,,,1.77,0.0135536539843693,0.0153335564769804,0.0189598033405976,12,4,0.0216251363776726,0.026268251242541,0.0375059845734843,51,16,0.0166600414028123,0.0191594211847326,0.0232174984261251,147,60,PO018065NRG001,476409.0,4987902.0,GWB ISS MPP,FRASCAROLO,,Mid,157.36929570298807,3,22.509192122330823,220.19796663370036,3,22.509192122330823,81.66335831367255,3,22.509192122330823,22.176271555671875,3,35.89656184093402,20.3081773341434,3,35.89656184093402,24.48451956985634,3,35.89656184093402,-2.44,138.5346083200278,14.057365460079907,,
PO018065NRG001,2020,FRASCAROLO,,,1.275,,1.12,,1.43,0.0231204161644402,0.025122801834576,0.0329058298630116,12,4,0.0306142878214207,0.0365783599375042,0.0397800085943041,55,16,0.017598034588948,0.0212854350595975,0.0204894445483902,159,60,PO018065NRG001,476409.0,4987902.0,GWB ISS MPP,FRASCAROLO,,Mid,256.8761820892823,3,22.509192122330823,294.85530849512486,3,22.509192122330823,163.2596088648399,3,22.509192122330823,22.13542049090761,3,35.89656184093402,20.489302854927303,3,35.89656184093402,23.251294873962117,3,35.89656184093402,,131.59569963028497,16.370193419312635,,
PO018065NRG001,2021,FRASCAROLO,2.08,3.71,2.1,3.71,,,2.1,0.0095462391683314,0.0103003629483282,0.0129989711567759,12,4,0.0176304457123941,0.0198299453427932,0.0302191067712555,55,16,0.0093277071754877,0.0098396531617227,0.0128504231859955,156,60,PO018065NRG001,476409.0,4987902.0,GWB ISS MPP,FRASCAROLO,-1.61,Low,122.70155972392924,3,22.509192122330823,160.15741077418667,3,22.509192122330823,84.80431211122871,3,22.509192122330823,21.770275972821103,3,35.04600092735261,19.77081821280426,3,35.04600092735261,23.58742836711012,3,35.04600092735261,-1.6099999999999999,97.68534753976422,14.161767906489686,,
PO018014NRP001,2008,BEREGUARDO,,,,,,,,0.0915425734904905,0.1029853951768018,,6,0,0.070630586274934,0.0730327405035495,0.0511628278512872,36,17,0.0729552584824587,0.0800010911912255,0.080773969633255,175,76,PO018014NRP001,501192.230333,5013351.97267,GWB ISS MPTLS,BEREGUARDO,,High,284.7363258933424,3,14.606522977567074,400.420714559596,3,14.606522977567074,175.084451150486,3,14.606522977567074,21.592038830706777,3,27.13785691580687,19.878843301328043,3,27.13785691580687,22.8228121981592,3,27.13785691580687,,225.33626340911005,15.484125112343516,2015.0,-7.0
PO018014NRP001,2009,BEREGUARDO,,,,,,,,0.0155508470156096,0.0180532401507913,,7,0,0.0304712701682879,0.0278193866525801,0.0230428799776264,42,17,0.034635161473827,0.0400818911128594,0.0448686864582301,192,76,PO018014NRP001,501192.230333,5013351.97267,GWB ISS MPTLS,BEREGUARDO,,Mid,88.51793664008498,3,14.606522977567074,293.045238430058,3,14.606522977567074,71.51256483136622,3,14.606522977567074,22.70276735756895,3,27.13785691580687,20.97577416859824,3,27.13785691580687,23.539495433681807,3,27.13785691580687,,221.53267359869176,17.415170574879273,2015.0,-6.0
PO018014NRP001,2010,BEREGUARDO,,,,,,,,0.0198668042867211,0.0223326833953184,,8,0,0.0170688391256131,0.0167530832943062,0.013179735741441,43,17,0.0234124695421156,0.0276097800987231,0.0323122686802028,207,76,PO018014NRP001,501192.230333,5013351.97267,GWB ISS MPTLS,BEREGUARDO,,Mid,321.1684465782239,3,14.606522977567074,388.9557881689064,3,14.606522977567074,162.7440319717163,3,14.606522977567074,20.18340574530322,2,27.13785691580687,18.543560330707344,2,27.13785691580687,21.745634445862606,2,27.13785691580687,,226.21175619718994,14.774632461388128,2015.0,-5.0
PO018014NRP001,2011,BEREGUARDO,,,,,,,,0.012828668823377,0.0145622727184279,,7,0,0.0164950476119702,0.015239572300275,0.0090845551716127,40,17,0.0092782992143805,0.0095727617300208,0.009372941928884,201,76,PO018014NRP001,501192.230333,5013351.97267,GWB ISS MPTLS,BEREGUARDO,,Low,180.54517594023773,3,23.77276504934729,191.473336620958,3,23.77276504934729,134.721389008042,3,23.77276504934729,,1,27.13785691580687,,1,27.13785691580687,,1,14.606522977567074,,56.751947612916005,,2015.0,-4.0
PO018014NRP001,2012,BEREGUARDO,,,,,,,,0.0258466815511282,0.0286026630595687,,6,0,0.0435742457683843,0.035972930763432,0.0208490096694589,39,17,0.0296483934755626,0.0297179329614207,0.0269379453418016,180,76,PO018014NRP001,501192.230333,5013351.97267,GWB ISS MPTLS,BEREGUARDO,,Mid,199.2439008275418,3,20.431280199699756,308.4380713535565,3,20.431280199699756,121.773599066486,3,20.431280199699756,23.004186159906677,3,14.606522977567074,20.997259657315208,3,14.606522977567074,24.63729657494048,3,14.606522977567074,,186.66447228707048,15.507367912700053,2015.0,-3.0
PO018014NRP001,2013,BEREGUARDO,,,,,,,,0.0130270588269922,0.0130283205831397,,7,0,0.0364058727536322,0.0386656329583329,0.0396679042582857,39,17,0.0391265713961759,0.0406700308896334,0.0459617295716254,182,76,PO018014NRP001,501192.230333,5013351.97267,GWB ISS MPTLS,BEREGUARDO,,Mid,202.14511169118651,3,20.431280199699756,294.7107818602996,3,20.431280199699756,71.83424663487287,3,20.431280199699756,21.741231180485148,3,14.606522977567074,20.0858227087834,3,14.606522977567074,23.61216588432438,3,14.606522977567074,,222.87653522542672,14.88783610445596,2015.0,-2.0
PO018014NRP001,2014,BEREGUARDO,,,,,,,,0.0017651873770066,0.0023517940565943,,6,0,0.0424998679147265,0.043227673765364,0.0444453738999607,38,17,0.0275065962264574,0.0340081534879374,0.0411976606694735,187,76,PO018014NRP001,501192.230333,5013351.97267,GWB ISS MPTLS,BEREGUARDO,,Mid,348.2604368760476,3,23.77276504934729,448.6419448122514,3,23.77276504934729,311.1114124228304,3,23.77276504934729,21.177013347717786,3,14.649039453289786,19.889242519835424,3,14.649039453289786,22.31427207186573,3,14.649039453289786,,137.53053238942107,16.23182090037988,2015.0,-1.0
PO018014NRP001,2015,BEREGUARDO,,,13.045000000000002,,13.71,12.38,,0.0027935376429619,0.0049297723111093,,6,0,0.0127866535662114,0.0076226361655509,0.00123324344741,38,17,0.0089541273711613,0.0066609148856718,0.0040042070998249,161,76,PO018014NRP001,501192.230333,5013351.97267,GWB ISS MPTLS,BEREGUARDO,,Low,164.33915573861782,3,23.77276504934729,209.55543106973275,3,23.77276504934729,129.38997624667695,3,23.77276504934729,23.29252195308521,3,14.649039453289786,21.470858366804357,3,14.649039453289786,24.73530081770936,3,14.649039453289786,,80.16545482305577,16.504625888138335,2015.0,0.0
PO018014NRP001,2016,BEREGUARDO,14.05,14.17,12.97,14.1,13.53,12.97,12.13,0.0035359725957581,0.0044279323150736,,7,0,0.0187102993529512,0.0212289320852748,0.0186049385699637,42,17,0.0146620334038531,0.0169768032834754,0.0159793726249246,194,76,PO018014NRP001,501192.230333,5013351.97267,GWB ISS MPTLS,BEREGUARDO,-1.9699999999999989,Low,235.18201584191084,3,23.77276504934729,247.3164250369761,3,23.77276504934729,151.68785263502832,3,23.77276504934729,21.888580635719727,3,14.649039453289786,20.54614218051792,3,14.649039453289786,23.48833241214707,3,14.649039453289786,-1.1999999999999993,95.62857240194775,16.08154769418984,2015.0,1.0
PO018014NRP001,2017,BEREGUARDO,13.56,14.125,12.88,14.0,13.55,12.88,12.28,0.0008321387213072,0.0006934489344227,,5,0,0.0113951633279636,0.0127839828415315,0.0129566635291649,37,17,0.0095209014870875,0.0117513143026889,0.0132952814596871,185,76,PO018014NRP001,501192.230333,5013351.97267,GWB ISS MPTLS,BEREGUARDO,-1.7200000000000006,Low,134.99621039101692,3,23.77276504934729,189.8617017502767,3,23.77276504934729,73.47297554484881,3,23.77276504934729,23.46893985246772,3,14.649039453289786,21.78352586491188,3,14.649039453289786,24.9603931435128,3,14.649039453289786,-1.2449999999999992,116.38872620542787,16.99218505128426,2015.0,2.0
PO018014NRP001,2018,BEREGUARDO,13.5,13.9,12.715,13.9,,13.08,12.35,0.0002236026921309,0.0002981369228412,,2,0,0.0344882234091652,0.0328260239891158,0.0305864426130474,27,17,0.0174387865036985,0.0191106866245893,0.0181519583917147,123,76,PO018014NRP001,501192.230333,5013351.97267,GWB ISS MPTLS,BEREGUARDO,-1.5500000000000007,Mid,326.93732365616336,3,23.77276504934729,435.83415913466666,3,23.77276504934729,177.20227936490275,3,23.77276504934729,22.964432337969303,3,14.649039453289786,21.485365219859247,3,14.649039453289786,24.417472110856664,3,14.649039453289786,-1.1850000000000005,258.63187976976394,17.10836123317551,2015.0,3.0
