station,year,commune,pre,aprmay,jja,m5,m6,m7,m8,ff_2,ffw_2,ffb_2,n_2,nbal_2,ff_5,ffw_5,ffb_5,n_5,nbal_5,ff_10,ffw_10,ffb_10,n_10,nbal_10,CODICE,gw_x,gw_y,gwb,P4,P4_n,P4_dmax,P5,P5_n,P5_dmax,P6,P6_n,P6_dmax,P7,P7_n,P7_dmax,P8,P8_n,P8_dmax,T4,T4_n,T4_dmax,T5,T5_n,T5_dmax,T6,T6_n,T6_dmax,T7,T7_n,T7_dmax,T8,T8_n,T8_dmax,P_A6,T_A6,P_A7,T_A7,P_A8,T_A8,d_spr_6,d_spr_7,d_spr_8,ff10_mean,ff10_anom,ff_anom_lag,yr_lag,ff_anom_lead,yr_lead
PO0180880U0001,2015,MEDE,4.51,4.885,2.25,4.81,2.8,2.25,1.86,0.0025862025901336,0.002700245087134,0.0026630571228452,11,4,0.040821822618843,0.0423066752732434,0.0406178306026033,83,39,0.0355028172931453,0.0355073040923899,0.0348524355178665,287,160,PO0180880U0001,479549.0,4993807.0,GWB ISS MPP,30.743421392648063,3,16.88126254164658,29.297417729108624,3,16.88126254164658,36.33215346804423,3,16.88126254164658,22.005343361339087,3,16.88126254164658,66.5404053890246,3,16.88126254164658,13.735367887991284,3,29.236976878603574,18.746682758014053,3,29.236976878603574,22.538782900453416,3,29.236976878603574,26.593885353716864,3,29.236976878603574,22.81086415173523,3,29.236976878603574,96.37299258980093,18.34474383683271,118.37833595114002,20.44083717309016,184.91874134016462,20.921038717782952,-2.085,-2.635,-3.0249999999999995,0.06450903547158858,-0.02900621817844328,0.011393471247446316,2014.0,-0.03161315672367668,2016.0
PO0180880U0001,2016,MEDE,5.08,5.105,2.0,4.89,3.79,2.0,1.72,0.0056946722007441,0.006094832799863,0.0049360125655463,11,4,0.0402228938815339,0.0431188153007311,0.0575481064170629,85,39,0.0328958787479119,0.0335382570676786,0.0370132247244722,287,160,PO0180880U0001,479549.0,4993807.0,GWB ISS MPP,10.111836910734587,3,16.88126254164658,83.22296411281596,3,16.88126254164658,56.78170939297951,3,16.88126254164658,28.106080635653477,3,16.88126254164658,30.66526601714012,3,16.88126254164658,14.5695645279383,3,29.236976878603574,16.862860904030452,3,29.236976878603574,21.42695112405489,3,29.236976878603574,24.229512041216285,3,29.236976878603574,22.75577387927647,3,29.236976878603574,150.11651041653005,17.611474259172965,178.22259105218353,19.293106810347908,208.88785706932364,19.994692948496834,-1.3150000000000004,-3.1050000000000004,-3.3850000000000007,0.06450903547158858,-0.03161315672367668,-0.02900621817844328,2015.0,-0.025832390466882377,2017.0
PO0180880U0001,2017,MEDE,4.96,5.25,2.76,5.17,4.35,2.76,1.99,0.0112397633046687,0.0137703559154701,0.010218604640977,11,4,0.0428142161786249,0.0464644009717241,0.0566034209987638,87,39,0.0386766450047062,0.041715475657117,0.0463526222578851,280,160,PO0180880U0001,479549.0,4993807.0,GWB ISS MPP,39.743654108838136,3,16.88126254164658,73.55226800889632,3,16.88126254164658,115.34616923350889,3,16.88126254164658,9.959159500247688,3,16.88126254164658,0.32299092231692644,3,16.88126254164658,14.209070090145884,3,29.236976878603574,18.26694176244881,3,29.236976878603574,23.57554935707997,3,29.236976878603574,23.84078763126326,3,29.236976878603574,23.96102561389554,3,29.236976878603574,228.64209135124332,18.67927228629328,238.60125085149102,19.990804873949585,238.92424177380795,20.795228684003995,-0.9000000000000004,-2.49,-3.26,0.06450903547158858,-0.025832390466882377,-0.03161315672367668,2016.0,-0.044252729795105375,2018.0
PO0180880U0001,2018,MEDE,5.03,4.98,2.09,4.84,4.13,2.09,1.82,0.0024693677533474,0.002553453871147,0.0002237594453617,11,4,0.0244067600692541,0.0253268242759416,0.0298176582949932,81,39,0.0202563056764832,0.0205261900821553,0.0233060782328432,274,160,PO0180880U0001,479549.0,4993807.0,GWB ISS MPP,72.63357002891112,3,16.88126254164658,91.30068613367192,3,16.88126254164658,23.97567545755504,3,16.88126254164658,111.31841412315268,3,16.88126254164658,33.57919110036095,3,16.88126254164658,15.264825328517425,3,29.236976878603574,18.517142782136588,3,29.236976878603574,22.61753362009544,3,29.236976878603574,24.458020898247764,3,29.236976878603574,23.951703354862076,3,29.236976878603574,187.90993162013808,18.796727414336484,299.2283457432908,20.23525280778935,332.80753684365175,20.98825912778448,-0.8500000000000005,-2.8900000000000006,-3.16,0.06450903547158858,-0.044252729795105375,-0.025832390466882377,2017.0,-0.04948877858502248,2019.0
PO0180880U0001,2019,MEDE,4.8,5.22,3.38,5.22,4.5,3.38,1.83,0.0088710065673027,0.0103153342388395,0.0128170526368194,10,4,0.0198027709541187,0.0222426616504877,0.0264334321052785,85,39,0.0150202568865661,0.0173930152818877,0.0202267324896191,284,160,PO0180880U0001,479549.0,4993807.0,GWB ISS MPP,64.27059473575217,3,16.88126254164658,80.18466914868272,3,16.88126254164658,2.7055862840793035,3,16.88126254164658,60.787079412124726,3,16.88126254164658,23.1558481598504,3,16.88126254164658,13.027449720748393,3,29.236976878603574,15.456434328117005,3,29.236976878603574,24.35481603234229,3,29.236976878603574,25.263441744472534,3,29.236976878603574,24.030359648933718,3,29.236976878603574,147.1608501685142,17.58920260180602,207.9479295806389,19.539214187237672,231.1037777404893,20.449184836339487,-0.7199999999999998,-1.8399999999999999,-3.3899999999999997,0.06450903547158858,-0.04948877858502248,-0.044252729795105375,2018.0,-0.04975239602978798,2020.0
PO0180880U0001,2020,MEDE,4.27,,2.07,,3.5,2.07,1.71,0.0012518700619693,0.001653471162879,0.0012310107471421,11,4,0.0192732880729829,0.0239689811308632,0.0183756982378311,88,39,0.0147566394418006,0.0178506261429705,0.0169134687962408,297,160,PO0180880U0001,479549.0,4993807.0,GWB ISS MPP,37.36620351105503,3,16.88126254164658,96.33075134545992,3,16.88126254164658,60.05259111964297,3,16.88126254164658,78.74828056349688,3,16.88126254164658,36.14714067233882,3,16.88126254164658,13.86885871269041,3,29.236976878603574,18.973297495833947,3,29.236976878603574,21.475445711783674,3,29.236976878603574,24.182978359701714,3,29.236976878603574,23.90160491503124,3,29.236976878603574,193.7495459761579,18.115399506649172,272.49782653965474,19.657161346359246,308.64496721199356,20.517146644586905,,,,0.06450903547158858,-0.04975239602978798,-0.04948877858502248,2019.0,-0.05759341540844278,2021.0
PO0180880U0001,2021,MEDE,4.475,5.04,1.64,5.04,,,1.64,0.0001696277670844,0.0001865905437928,9.288958002192276e-05,11,4,0.009037428713826,0.0093914978358693,0.0093764292209062,88,39,0.0069156200631458,0.0072142886817842,0.0082445838840188,296,160,PO0180880U0001,479549.0,4993807.0,GWB ISS MPP,53.28000787371572,3,28.770085088508168,40.8539266244041,3,16.88126254164658,7.822052922062958,3,16.88126254164658,51.11861307134428,3,28.770085088508168,54.32837219917276,3,16.88126254164658,11.826365329425826,3,28.770085088508168,16.55796080585066,3,28.770085088508168,23.66046716317361,3,28.770085088508168,23.99789838909406,3,29.236976878603574,23.119275646205292,3,28.770085088508168,101.95598742018278,17.339579777575313,153.07460049152706,19.031447621485814,207.4029726906998,19.859700358520477,,,-3.4000000000000004,0.06450903547158858,-0.05759341540844278,-0.04975239602978798,2020.0,,
PO0180930U0006,2008,MIRADOLO TERME,,,,,,,,0.0859054632484913,0.0859054632484913,,1,0,0.0641636422513762,0.0879401713732237,0.1262076318186396,14,4,0.0442546898474795,0.0617616794759034,0.0567073916172375,59,18,PO0180930U0006,535374.0,5001676.0,GWB ISS MPTLS,101.45859545864866,3,23.889175393889175,88.90418616318472,3,44.48680024456693,74.2440973842192,3,23.889175393889175,30.866217633825016,3,23.889175393889175,5.595611635713805,3,44.48680024456693,13.339545696785683,3,23.889175393889175,18.895488673772277,3,23.889175393889175,22.73235613147765,3,23.889175393889175,24.743464765411616,3,23.889175393889175,24.576680234660625,3,44.48680024456693,264.6068790060526,18.328760480602643,295.47309663987767,19.95872632346394,301.06870827559146,20.894390187824055,,,,0.019104174526441666,0.025150515321037837,,,0.003090211655725133,2009.0
PO0180930U0006,2009,MIRADOLO TERME,,,,,,,,0.0070392792113125,0.0070392792113125,,2,0,0.0245392673736205,0.0325967826324307,0.0639775953255594,24,4,0.0221943861821668,0.028508367249647,0.0408509629124266,92,18,PO0180930U0006,535374.0,5001676.0,GWB ISS MPTLS,128.9029162572806,3,23.889175393889175,7.652792138336163,3,23.889175393889175,38.98905613857246,3,23.889175393889175,26.536005863787228,3,23.889175393889175,28.359575201658092,3,23.889175393889175,14.868442863727783,3,23.889175393889175,21.157655344200514,3,44.48680024456693,23.23459330372662,3,44.48680024456693,25.499641153763047,3,44.48680024456693,25.89790288551489,3,44.48680024456693,175.54476453418923,19.76899341421811,202.08077039797647,21.22514161033199,230.44034559963455,22.17191023471545,,,,0.019104174526441666,0.003090211655725133,0.025150515321037837,2008.0,0.009835556748084933,2010.0
PO0180930U0006,2010,MIRADOLO TERME,,,,,,,,0.0070759383961558,0.0070759383961558,,2,0,0.0189215853087776,0.0272637037051027,0.0629808729281649,23,4,0.0289397312745266,0.0375397423654575,0.0434940472187009,90,18,PO0180930U0006,535374.0,5001676.0,GWB ISS MPTLS,56.965893438345944,3,23.889175393889175,165.77076326503013,3,23.889175393889175,57.330024627427605,3,23.889175393889175,3.9304663895252796,3,48.7458070094239,127.7926871454627,3,23.889175393889175,13.11951155021802,3,23.889175393889175,16.627894458423988,3,23.889175393889175,21.55878754135147,3,23.889175393889175,25.76714139603808,3,44.48680024456693,22.424868043739682,3,44.48680024456693,280.0666813308037,17.09685385668383,283.997147720329,19.299959706847613,411.7898348657917,19.933111069224438,,,,0.019104174526441666,0.009835556748084933,0.003090211655725133,2009.0,-0.001586196817303865,2011.0
