"persistent_id","dataset_title","file_id","filename","content_type","filesize_bytes","checksum_type","checksum_value","description","directory_label","restricted"
"doi:10.13130/RD_UNIMI/FDQL63","Agricultural season 2019","6040","MEDWATERICE DMP_CS2_COBERT_SDI_2019.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","2673326","MD5","10a39d7ab4b4e656add20c1b2a25f461","Data collected during 2019 at farm scale using subsurface drip irrigation (SDI)",,"False"
"doi:10.13130/RD_UNIMI/FDQL63","Agricultural season 2019","6038","MEDWATERICE DMP_CS2_Mas Pla_2019.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","140008","MD5","b901bf14300bb61179d4d777bf7cf18e","Data collected during 2019 at farm scale using flood irrigation (FL)",,"False"
"doi:10.13130/RD_UNIMI/FDQL63","Agricultural season 2019","8042","MEDWATERICE DMP_CS2_varieties_2019.pdf","application/pdf","40059","MD5","45432a8d041935caba0f479f4ccda0f3",,,"False"
"doi:10.13130/RD_UNIMI/FDQL63","Agricultural season 2019","6039","Plots Field Data 2019.pptx","application/vnd.openxmlformats-officedocument.presentationml.presentation","1699245","MD5","71e230e8f97e50e8b3f9df2f9017935f","Details of the subsurface drip irrigation plot design and sampling points",,"False"
"doi:10.13130/RD_UNIMI/FDQL63","Agricultural season 2019","214130","README FILE_CS2_Baix Ter_Spain_2019.txt","text/plain","5207","MD5","e65a230e1a283cfbbd688688c28f0cdf",,,"False"
"doi:10.13130/RD_UNIMI/BDYJEY","Agricultural season 2020","11788","MEDWATERICE DMP_CS6_EGYPT_DRIP_2020.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","63706","MD5","9abbe987e21cf37809f549562efef2ab","Data collected at pilot field adopting the surface drip irrigation strategy (DRIP) 2020",,"False"
"doi:10.13130/RD_UNIMI/BDYJEY","Agricultural season 2020","11786","MEDWATERICE DMP_CS6_EGYPT_HYBRID-DRAINAGE WATER_2020.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","64497","MD5","399031a80f7460220d2cfae9143f3c00","Data collected at pilot field adopting the irrigation strategy of hybrid irrigation and drainage water (WFL-DRAINAGE WATER)  2020",,"False"
"doi:10.13130/RD_UNIMI/BDYJEY","Agricultural season 2020","11785","MEDWATERICE DMP_CS6_EGYPT_HYBRID-FRESHWATER_2020.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","63207","MD5","7c6c744305bccde4d750122a9153fb71","Data collected at pilot field adopting the irrigation strategy of hybrid irrigation and freshwater (HYBRID-FRESHWATER)  2020",,"False"
"doi:10.13130/RD_UNIMI/BDYJEY","Agricultural season 2020","11787","MEDWATERICE DMP_CS6_EGYPT_SPRINKLER_2020.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","63653","MD5","c7c4224687d4b1e5708bbeee2ae522c1","Data collected at pilot field adopting the sprinkler irrigation strategy (SPRINKLER) 2020",,"False"
"doi:10.13130/RD_UNIMI/BDYJEY","Agricultural season 2020","11790","MEDWATERICE DMP_CS6_EGYPT_varieties_2020.pdf","application/pdf","90899","MD5","6c5cefa0e9403738f93c1fe4a1fa2540","Cultivated rice varieties in 2020",,"False"
"doi:10.13130/RD_UNIMI/BDYJEY","Agricultural season 2020","11784","MEDWATERICE DMP_CS6_EGYPT_WFL-DRAINAGE WATER_2020.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","62481","MD5","6111a05b69fa8a3d95c140bdd7741a3b","Data collected at pilot field adopting the irrigation strategy of continuous flooding and drainage water (WFL-DRAINAGE-WATER)  2020",,"False"
"doi:10.13130/RD_UNIMI/BDYJEY","Agricultural season 2020","11783","MEDWATERICE DMP_CS6_EGYPT_WFL-FRESHWATER_2020.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","62310","MD5","0e148ce882ded3afda2e4f2b96d425de","Data collected at pilot field adopting the irrigation strategy of continuous flooding and freshwater (WFL-FRESHWATER)  2020",,"False"
"doi:10.13130/RD_UNIMI/BDYJEY","Agricultural season 2020","11789","MEDWATERICE_EXPERIMENTAL LAYOUT_CS6_EGYPT_2020.pdf","application/pdf","234295","MD5","f89c9a02df8f62a2bbc11895f99af777","Layout of the experimental platform 2020",,"False"
